rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.328,5.000,4.698,2.324,2.374,0.505,8,"gen_lane[1].i_p2_pop_slice/popcount_part_q_o_reg[1][0]/C","group_dist_q_reg[8]/D","P2 popcount capture","CARRY4=4;FDCE=2;LUT3=2;LUT5=1;LUT6=1"
2,0.432,5.000,4.594,2.146,2.448,0.533,6,"gen_lane[1].i_p2_pop_slice/popcount_part_q_o_reg[1][0]/C","group_dist_q_reg[7]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1"
3,0.485,5.000,4.541,2.093,2.448,0.539,6,"gen_lane[1].i_p2_pop_slice/popcount_part_q_o_reg[1][0]/C","group_dist_q_reg[6]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1"
4,0.606,5.000,4.420,2.168,2.252,0.510,7,"gen_lane[3].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[5]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1;LUT6=1"
5,0.651,5.000,4.346,1.951,2.395,0.551,7,"a_q_reg[4]/C","st_q_reg[2]/D","TOP control","CARRY4=2;FDCE=2;LUT4=1;LUT6=4"
6,0.651,5.000,4.346,1.951,2.395,0.551,7,"a_q_reg[4]/C","st_q_reg[3]/D","TOP control","CARRY4=2;FDCE=2;LUT4=1;LUT5=1;LUT6=3"
7,0.662,5.000,4.335,1.951,2.384,0.550,7,"a_q_reg[4]/C","res_q_reg[1]/D","scalar response","CARRY4=2;FDCE=2;LUT4=1;LUT6=4"
8,0.686,5.000,4.340,2.088,2.252,0.519,7,"gen_lane[3].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[4]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1;LUT6=1"
9,0.786,5.000,4.211,1.210,3.001,0.713,6,"ecc_diag_base_q_reg[4]/C","ecc_leaf_prod_q_reg[15]/D","other","FDCE=2;LUT4=1;LUT5=1;LUT6=4"
10,0.786,5.000,4.211,1.210,3.001,0.713,6,"ecc_diag_base_q_reg[4]/C","ecc_leaf_prod_q_reg[23]/D","other","FDCE=2;LUT4=1;LUT5=1;LUT6=4"
11,0.786,5.000,4.211,1.210,3.001,0.713,6,"ecc_diag_base_q_reg[4]/C","ecc_leaf_prod_q_reg[31]/D","other","FDCE=2;LUT4=1;LUT5=1;LUT6=4"
12,0.786,5.000,4.211,1.210,3.001,0.713,6,"ecc_diag_base_q_reg[4]/C","ecc_leaf_prod_q_reg[39]/D","other","FDCE=2;LUT4=1;LUT5=1;LUT6=4"
13,0.786,5.000,4.211,1.210,3.001,0.713,6,"ecc_diag_base_q_reg[4]/C","ecc_leaf_prod_q_reg[47]/D","other","FDCE=2;LUT4=1;LUT5=1;LUT6=4"
14,0.786,5.000,4.211,1.210,3.001,0.713,6,"ecc_diag_base_q_reg[4]/C","ecc_leaf_prod_q_reg[55]/D","other","FDCE=2;LUT4=1;LUT5=1;LUT6=4"
15,0.786,5.000,4.211,1.210,3.001,0.713,6,"ecc_diag_base_q_reg[4]/C","ecc_leaf_prod_q_reg[7]/D","other","FDCE=2;LUT4=1;LUT5=1;LUT6=4"
16,0.908,5.000,4.118,1.864,2.254,0.547,5,"gen_lane[3].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[3]/D","P2 popcount capture","CARRY4=2;FDCE=2;LUT3=2;LUT5=1"
17,0.930,5.000,4.067,1.085,2.982,0.733,5,"ecc_leaf_b_q_reg[19]/C","ecc_leaf_prod_q_reg[0]/D","other","FDCE=2;LUT6=5"
18,0.930,5.000,4.067,1.085,2.982,0.733,5,"ecc_leaf_b_q_reg[19]/C","ecc_leaf_prod_q_reg[16]/D","other","FDCE=2;LUT6=5"
19,0.930,5.000,4.067,1.085,2.982,0.733,5,"ecc_leaf_b_q_reg[19]/C","ecc_leaf_prod_q_reg[24]/D","other","FDCE=2;LUT6=5"
20,0.930,5.000,4.067,1.085,2.982,0.733,5,"ecc_leaf_b_q_reg[19]/C","ecc_leaf_prod_q_reg[32]/D","other","FDCE=2;LUT6=5"
21,0.930,5.000,4.067,1.085,2.982,0.733,5,"ecc_leaf_b_q_reg[19]/C","ecc_leaf_prod_q_reg[40]/D","other","FDCE=2;LUT6=5"
22,0.930,5.000,4.067,1.085,2.982,0.733,5,"ecc_leaf_b_q_reg[19]/C","ecc_leaf_prod_q_reg[48]/D","other","FDCE=2;LUT6=5"
23,0.930,5.000,4.067,1.085,2.982,0.733,5,"ecc_leaf_b_q_reg[19]/C","ecc_leaf_prod_q_reg[56]/D","other","FDCE=2;LUT6=5"
24,0.930,5.000,4.067,1.085,2.982,0.733,5,"ecc_leaf_b_q_reg[19]/C","ecc_leaf_prod_q_reg[8]/D","other","FDCE=2;LUT6=5"
25,0.974,5.000,3.744,1.085,2.659,0.710,5,"ecc_fold_word_q_reg[0]/C","ecc_product_even_reg_0_3_32_32/DP/I","other","FDCE=1;LUT6=5;RAMD32=1"
26,0.974,5.000,3.744,1.085,2.659,0.710,5,"ecc_fold_word_q_reg[0]/C","ecc_product_even_reg_0_3_33_33/DP/I","other","FDCE=1;LUT6=5;RAMD32=1"
27,0.974,5.000,3.744,1.085,2.659,0.710,5,"ecc_fold_word_q_reg[0]/C","ecc_product_even_reg_0_3_34_34/DP/I","other","FDCE=1;LUT6=5;RAMD32=1"
28,0.974,5.000,3.744,1.085,2.659,0.710,5,"ecc_fold_word_q_reg[0]/C","ecc_product_even_reg_0_3_35_35/DP/I","other","FDCE=1;LUT6=5;RAMD32=1"
29,0.974,5.000,3.744,1.085,2.659,0.710,5,"ecc_fold_word_q_reg[0]/C","ecc_product_even_reg_0_3_36_36/DP/I","other","FDCE=1;LUT6=5;RAMD32=1"
30,0.974,5.000,3.744,1.085,2.659,0.710,5,"ecc_fold_word_q_reg[0]/C","ecc_product_even_reg_0_3_37_37/DP/I","other","FDCE=1;LUT6=5;RAMD32=1"
31,0.974,5.000,3.744,1.085,2.659,0.710,5,"ecc_fold_word_q_reg[0]/C","ecc_product_even_reg_0_3_38_38/DP/I","other","FDCE=1;LUT6=5;RAMD32=1"
32,0.974,5.000,3.744,1.085,2.659,0.710,5,"ecc_fold_word_q_reg[0]/C","ecc_product_even_reg_0_3_39_39/DP/I","other","FDCE=1;LUT6=5;RAMD32=1"
33,0.974,5.000,3.744,1.085,2.659,0.710,5,"ecc_fold_word_q_reg[0]/C","ecc_product_even_reg_0_3_40_40/DP/I","other","FDCE=1;LUT6=5;RAMD32=1"
34,0.974,5.000,3.744,1.085,2.659,0.710,5,"ecc_fold_word_q_reg[0]/C","ecc_product_even_reg_0_3_41_41/DP/I","other","FDCE=1;LUT6=5;RAMD32=1"
35,0.974,5.000,3.744,1.085,2.659,0.710,5,"ecc_fold_word_q_reg[0]/C","ecc_product_even_reg_0_3_42_42/DP/I","other","FDCE=1;LUT6=5;RAMD32=1"
36,0.974,5.000,3.744,1.085,2.659,0.710,5,"ecc_fold_word_q_reg[0]/C","ecc_product_even_reg_0_3_43_43/DP/I","other","FDCE=1;LUT6=5;RAMD32=1"
37,0.974,5.000,3.744,1.085,2.659,0.710,5,"ecc_fold_word_q_reg[0]/C","ecc_product_even_reg_0_3_44_44/DP/I","other","FDCE=1;LUT6=5;RAMD32=1"
