rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.326,5.000,4.700,2.246,2.454,0.522,7,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[8]/D","P2 popcount capture","CARRY4=4;FDCE=2;LUT3=2;LUT5=1"
2,0.426,5.000,4.600,2.146,2.454,0.533,6,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[7]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1"
3,0.461,5.000,4.536,1.210,3.326,0.733,6,"gen_lane[0].i_p2_pop_slice/src_a_q_reg[22]/C","gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][3]/D","P2 popcount capture","FDCE=2;LUT2=1;LUT3=3;LUT6=2"
4,0.461,5.000,4.536,1.210,3.326,0.733,6,"gen_lane[0].i_p2_pop_slice/src_a_q_reg[22]/C","gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][4]/D","P2 popcount capture","FDCE=2;LUT2=1;LUT3=3;LUT6=2"
5,0.461,5.000,4.536,1.210,3.326,0.733,6,"gen_lane[0].i_p2_pop_slice/src_a_q_reg[22]/C","gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][5]/D","P2 popcount capture","FDCE=2;LUT2=1;LUT3=3;LUT6=2"
6,0.461,5.000,4.536,1.210,3.326,0.733,6,"gen_lane[0].i_p2_pop_slice/src_a_q_reg[54]/C","gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[1][3]/D","P2 popcount capture","FDCE=2;LUT2=1;LUT3=3;LUT6=2"
7,0.461,5.000,4.536,1.210,3.326,0.733,6,"gen_lane[0].i_p2_pop_slice/src_a_q_reg[54]/C","gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[1][4]/D","P2 popcount capture","FDCE=2;LUT2=1;LUT3=3;LUT6=2"
8,0.461,5.000,4.536,1.210,3.326,0.733,6,"gen_lane[0].i_p2_pop_slice/src_a_q_reg[54]/C","gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[1][5]/D","P2 popcount capture","FDCE=2;LUT2=1;LUT3=3;LUT6=2"
9,0.461,5.000,4.536,1.210,3.326,0.733,6,"gen_lane[1].i_p2_pop_slice/src_a_q_reg[22]/C","gen_lane[1].i_p2_pop_slice/popcount_part_q_o_reg[0][3]/D","P2 popcount capture","FDCE=2;LUT2=1;LUT3=3;LUT6=2"
10,0.461,5.000,4.536,1.210,3.326,0.733,6,"gen_lane[1].i_p2_pop_slice/src_a_q_reg[22]/C","gen_lane[1].i_p2_pop_slice/popcount_part_q_o_reg[0][4]/D","P2 popcount capture","FDCE=2;LUT2=1;LUT3=3;LUT6=2"
11,0.461,5.000,4.536,1.210,3.326,0.733,6,"gen_lane[1].i_p2_pop_slice/src_a_q_reg[22]/C","gen_lane[1].i_p2_pop_slice/popcount_part_q_o_reg[0][5]/D","P2 popcount capture","FDCE=2;LUT2=1;LUT3=3;LUT6=2"
12,0.461,5.000,4.536,1.210,3.326,0.733,6,"gen_lane[1].i_p2_pop_slice/src_a_q_reg[54]/C","gen_lane[1].i_p2_pop_slice/popcount_part_q_o_reg[1][3]/D","P2 popcount capture","FDCE=2;LUT2=1;LUT3=3;LUT6=2"
13,0.461,5.000,4.536,1.210,3.326,0.733,6,"gen_lane[1].i_p2_pop_slice/src_a_q_reg[54]/C","gen_lane[1].i_p2_pop_slice/popcount_part_q_o_reg[1][4]/D","P2 popcount capture","FDCE=2;LUT2=1;LUT3=3;LUT6=2"
14,0.461,5.000,4.536,1.210,3.326,0.733,6,"gen_lane[1].i_p2_pop_slice/src_a_q_reg[54]/C","gen_lane[1].i_p2_pop_slice/popcount_part_q_o_reg[1][5]/D","P2 popcount capture","FDCE=2;LUT2=1;LUT3=3;LUT6=2"
15,0.461,5.000,4.536,1.210,3.326,0.733,6,"gen_lane[2].i_p2_pop_slice/src_a_q_reg[22]/C","gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[0][3]/D","P2 popcount capture","FDCE=2;LUT2=1;LUT3=3;LUT6=2"
16,0.461,5.000,4.536,1.210,3.326,0.733,6,"gen_lane[2].i_p2_pop_slice/src_a_q_reg[22]/C","gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[0][4]/D","P2 popcount capture","FDCE=2;LUT2=1;LUT3=3;LUT6=2"
17,0.461,5.000,4.536,1.210,3.326,0.733,6,"gen_lane[2].i_p2_pop_slice/src_a_q_reg[22]/C","gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[0][5]/D","P2 popcount capture","FDCE=2;LUT2=1;LUT3=3;LUT6=2"
18,0.461,5.000,4.536,1.210,3.326,0.733,6,"gen_lane[2].i_p2_pop_slice/src_a_q_reg[54]/C","gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[1][3]/D","P2 popcount capture","FDCE=2;LUT2=1;LUT3=3;LUT6=2"
19,0.461,5.000,4.536,1.210,3.326,0.733,6,"gen_lane[2].i_p2_pop_slice/src_a_q_reg[54]/C","gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[1][4]/D","P2 popcount capture","FDCE=2;LUT2=1;LUT3=3;LUT6=2"
20,0.461,5.000,4.536,1.210,3.326,0.733,6,"gen_lane[2].i_p2_pop_slice/src_a_q_reg[54]/C","gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[1][5]/D","P2 popcount capture","FDCE=2;LUT2=1;LUT3=3;LUT6=2"
