rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.254,5.000,4.743,1.190,3.553,0.749,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[0][55]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
2,0.254,5.000,4.743,1.190,3.553,0.749,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[1][55]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
3,0.254,5.000,4.743,1.190,3.553,0.749,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[2][55]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
4,0.254,5.000,4.743,1.190,3.553,0.749,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[3][55]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
5,0.255,5.000,4.742,1.190,3.552,0.749,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[0][59]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
6,0.255,5.000,4.742,1.190,3.552,0.749,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[1][59]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
7,0.255,5.000,4.742,1.190,3.552,0.749,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[2][59]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
8,0.255,5.000,4.742,1.190,3.552,0.749,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[3][59]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
9,0.265,5.000,4.732,1.190,3.542,0.749,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[0][63]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
10,0.265,5.000,4.732,1.190,3.542,0.749,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[1][63]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
11,0.265,5.000,4.732,1.190,3.542,0.749,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[2][63]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
12,0.265,5.000,4.732,1.190,3.542,0.749,6,"FSM_onehot_st_q_reg[19]/C","lane_result_q_reg[3][63]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=5"
