rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.136,5.000,4.861,1.190,3.671,0.755,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[0][55]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
2,0.136,5.000,4.861,1.190,3.671,0.755,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[1][55]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
3,0.136,5.000,4.861,1.190,3.671,0.755,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[2][55]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
4,0.136,5.000,4.861,1.190,3.671,0.755,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[3][55]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
5,0.137,5.000,4.860,1.190,3.670,0.755,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[0][59]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
6,0.137,5.000,4.860,1.190,3.670,0.755,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[1][59]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
7,0.137,5.000,4.860,1.190,3.670,0.755,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[2][59]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
8,0.137,5.000,4.860,1.190,3.670,0.755,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[3][59]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
9,0.147,5.000,4.850,1.190,3.660,0.755,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[0][63]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
10,0.147,5.000,4.850,1.190,3.660,0.755,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[1][63]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
11,0.147,5.000,4.850,1.190,3.660,0.755,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[2][63]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
12,0.147,5.000,4.850,1.190,3.660,0.755,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[3][63]/D","P2 lane result capture","FDCE=2;LUT4=2;LUT6=4"
13,0.326,5.000,4.700,2.246,2.454,0.522,7,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[8]/D","P2 popcount capture","CARRY4=4;FDCE=2;LUT3=2;LUT5=1"
14,0.426,5.000,4.600,2.146,2.454,0.533,6,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[7]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1"
15,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[0][35]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
16,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[0][36]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
17,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[0][37]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
18,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[0][45]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
19,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[0][51]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
20,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[0][52]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
21,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[0][53]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
22,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[0][60]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
23,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[0][61]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
24,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[1][35]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
25,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[1][36]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
26,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[1][37]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
27,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[1][44]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
28,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[1][45]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
29,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[1][51]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
30,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[1][52]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
31,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[1][53]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
32,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[1][60]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
33,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[1][61]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
34,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[2][35]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
35,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[2][36]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
36,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[2][37]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
37,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[2][45]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
38,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[2][51]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
39,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[2][52]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
40,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[2][53]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
41,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[2][60]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
42,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[2][61]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
43,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[3][35]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
44,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[3][36]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
45,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[3][37]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
46,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[3][43]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
47,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[3][44]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
48,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[3][45]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
49,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[3][51]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
50,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[3][52]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
51,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[3][53]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
52,0.432,5.000,4.565,1.210,3.355,0.735,6,"FSM_onehot_st_q_reg[14]/C","lane_result_q_reg[3][60]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
