rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.065,5.000,4.932,1.190,3.742,0.759,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[1][7]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT5=1;LUT6=3"
2,0.065,5.000,4.932,1.190,3.742,0.759,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[2][7]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT5=1;LUT6=3"
3,0.065,5.000,4.932,1.190,3.742,0.759,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[3][7]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT4=1;LUT5=1;LUT6=3"
4,0.288,5.000,4.709,1.210,3.499,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[0][31]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
5,0.288,5.000,4.709,1.210,3.499,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[1][23]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
6,0.288,5.000,4.709,1.210,3.499,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[1][31]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
7,0.288,5.000,4.709,1.210,3.499,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[2][31]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
8,0.289,5.000,4.708,1.190,3.518,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[0][51]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
9,0.289,5.000,4.708,1.190,3.518,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[1][51]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
10,0.289,5.000,4.708,1.190,3.518,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[2][51]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
11,0.292,5.000,4.705,1.190,3.515,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[1][2]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
12,0.292,5.000,4.705,1.190,3.515,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[1][4]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
13,0.292,5.000,4.705,1.190,3.515,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[1][5]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
14,0.292,5.000,4.705,1.190,3.515,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[1][6]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
15,0.292,5.000,4.705,1.190,3.515,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[1][8]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
16,0.292,5.000,4.705,1.190,3.515,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[1][9]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
17,0.292,5.000,4.705,1.190,3.515,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[2][2]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
18,0.292,5.000,4.705,1.190,3.515,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[2][4]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
19,0.292,5.000,4.705,1.190,3.515,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[2][5]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
20,0.292,5.000,4.705,1.190,3.515,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[2][6]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
21,0.292,5.000,4.705,1.190,3.515,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[2][8]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
22,0.292,5.000,4.705,1.190,3.515,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[2][9]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
23,0.292,5.000,4.705,1.190,3.515,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[3][2]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
24,0.292,5.000,4.705,1.190,3.515,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[3][4]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
25,0.292,5.000,4.705,1.190,3.515,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[3][5]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
26,0.292,5.000,4.705,1.190,3.515,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[3][6]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
27,0.292,5.000,4.705,1.190,3.515,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[3][8]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
28,0.292,5.000,4.705,1.190,3.515,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[3][9]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
29,0.293,5.000,4.704,1.190,3.514,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[0][48]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
30,0.293,5.000,4.704,1.190,3.514,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[0][49]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
31,0.293,5.000,4.704,1.190,3.514,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[0][50]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
32,0.293,5.000,4.704,1.190,3.514,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[1][48]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
33,0.293,5.000,4.704,1.190,3.514,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[1][49]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
34,0.293,5.000,4.704,1.190,3.514,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[1][50]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
35,0.293,5.000,4.704,1.190,3.514,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[2][48]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
36,0.293,5.000,4.704,1.190,3.514,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[2][49]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
37,0.293,5.000,4.704,1.190,3.514,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[2][50]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
38,0.295,5.000,4.702,1.210,3.492,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[0][16]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
39,0.295,5.000,4.702,1.210,3.492,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[0][17]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
40,0.295,5.000,4.702,1.210,3.492,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[0][18]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
41,0.295,5.000,4.702,1.210,3.492,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[0][19]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
42,0.295,5.000,4.702,1.210,3.492,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[0][20]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
43,0.295,5.000,4.702,1.210,3.492,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[0][21]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
44,0.295,5.000,4.702,1.210,3.492,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[1][11]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
45,0.295,5.000,4.702,1.210,3.492,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[1][16]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
46,0.295,5.000,4.702,1.210,3.492,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[1][17]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
47,0.295,5.000,4.702,1.210,3.492,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[1][18]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
48,0.295,5.000,4.702,1.210,3.492,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[1][19]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
49,0.295,5.000,4.702,1.210,3.492,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[1][20]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
50,0.295,5.000,4.702,1.210,3.492,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[1][21]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
51,0.295,5.000,4.702,1.210,3.492,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[2][16]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
52,0.295,5.000,4.702,1.210,3.492,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[2][17]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
53,0.295,5.000,4.702,1.210,3.492,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[2][18]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
54,0.295,5.000,4.702,1.210,3.492,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[2][19]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
55,0.295,5.000,4.702,1.210,3.492,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[2][20]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
56,0.295,5.000,4.702,1.210,3.492,0.743,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[2][21]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
57,0.296,5.000,4.701,1.190,3.511,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[0][24]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
58,0.296,5.000,4.701,1.190,3.511,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[0][25]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
59,0.296,5.000,4.701,1.190,3.511,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[0][26]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
60,0.296,5.000,4.701,1.190,3.511,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[0][27]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
61,0.296,5.000,4.701,1.190,3.511,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[0][36]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
62,0.296,5.000,4.701,1.190,3.511,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[0][37]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
63,0.296,5.000,4.701,1.190,3.511,0.747,6,"st_q_reg[2]_rep__0/C","lane_result_q_reg[0][38]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT4=1;LUT6=3"
