rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.219,5.000,4.570,1.190,3.380,0.740,6,"a_q_reg[16]/C","ecc_dst_q_reg[0]/CE","TOP control","FDCE=2;LUT2=1;LUT5=1;LUT6=4"
2,0.219,5.000,4.570,1.190,3.380,0.740,6,"a_q_reg[16]/C","ecc_dst_q_reg[1]/CE","TOP control","FDCE=2;LUT2=1;LUT5=1;LUT6=4"
3,0.219,5.000,4.570,1.190,3.380,0.740,6,"a_q_reg[16]/C","ecc_dst_q_reg[2]/CE","TOP control","FDCE=2;LUT2=1;LUT5=1;LUT6=4"
4,0.219,5.000,4.570,1.190,3.380,0.740,6,"a_q_reg[16]/C","ecc_dst_q_reg[3]/CE","TOP control","FDCE=2;LUT2=1;LUT5=1;LUT6=4"
5,0.219,5.000,4.570,1.190,3.380,0.740,6,"a_q_reg[16]/C","ecc_dst_q_reg[4]/CE","TOP control","FDCE=2;LUT2=1;LUT5=1;LUT6=4"
6,0.219,5.000,4.570,1.190,3.380,0.740,6,"a_q_reg[16]/C","ecc_dst_q_reg[5]/CE","TOP control","FDCE=2;LUT2=1;LUT5=1;LUT6=4"
7,0.227,5.000,4.562,1.190,3.372,0.739,6,"a_q_reg[16]/C","ecc_inv_step_q_reg[0]/CE","other","FDCE=2;LUT2=1;LUT5=1;LUT6=4"
8,0.227,5.000,4.562,1.190,3.372,0.739,6,"a_q_reg[16]/C","ecc_inv_step_q_reg[1]/CE","other","FDCE=2;LUT2=1;LUT5=1;LUT6=4"
9,0.227,5.000,4.562,1.190,3.372,0.739,6,"a_q_reg[16]/C","ecc_inv_step_q_reg[2]/CE","other","FDCE=2;LUT2=1;LUT5=1;LUT6=4"
10,0.227,5.000,4.562,1.190,3.372,0.739,6,"a_q_reg[16]/C","ecc_inv_step_q_reg[3]/CE","other","FDCE=2;LUT2=1;LUT5=1;LUT6=4"
11,0.263,5.000,4.526,1.190,3.336,0.737,6,"a_q_reg[3]/C","hperm_dst_base_q_reg[0]/CE","other","FDCE=2;LUT2=1;LUT6=5"
12,0.263,5.000,4.526,1.190,3.336,0.737,6,"a_q_reg[3]/C","hperm_dst_base_q_reg[1]/CE","other","FDCE=2;LUT2=1;LUT6=5"
13,0.263,5.000,4.526,1.190,3.336,0.737,6,"a_q_reg[3]/C","hperm_dst_base_q_reg[2]/CE","other","FDCE=2;LUT2=1;LUT6=5"
14,0.263,5.000,4.526,1.190,3.336,0.737,6,"a_q_reg[3]/C","hperm_dst_base_q_reg[3]/CE","other","FDCE=2;LUT2=1;LUT6=5"
15,0.263,5.000,4.526,1.190,3.336,0.737,6,"a_q_reg[3]/C","hperm_dst_base_q_reg[4]/CE","other","FDCE=2;LUT2=1;LUT6=5"
16,0.263,5.000,4.526,1.190,3.336,0.737,6,"a_q_reg[3]/C","hperm_dst_base_q_reg[5]/CE","other","FDCE=2;LUT2=1;LUT6=5"
17,0.263,5.000,4.526,1.190,3.336,0.737,6,"a_q_reg[3]/C","hperm_src_base_q_reg[0]/CE","other","FDCE=2;LUT2=1;LUT6=5"
18,0.263,5.000,4.526,1.190,3.336,0.737,6,"a_q_reg[3]/C","hperm_src_base_q_reg[1]/CE","other","FDCE=2;LUT2=1;LUT6=5"
19,0.263,5.000,4.526,1.190,3.336,0.737,6,"a_q_reg[3]/C","hperm_src_base_q_reg[2]/CE","other","FDCE=2;LUT2=1;LUT6=5"
20,0.263,5.000,4.526,1.190,3.336,0.737,6,"a_q_reg[3]/C","hperm_src_base_q_reg[3]/CE","other","FDCE=2;LUT2=1;LUT6=5"
21,0.263,5.000,4.526,1.190,3.336,0.737,6,"a_q_reg[3]/C","hperm_src_base_q_reg[4]/CE","other","FDCE=2;LUT2=1;LUT6=5"
22,0.263,5.000,4.526,1.190,3.336,0.737,6,"a_q_reg[3]/C","hperm_src_base_q_reg[5]/CE","other","FDCE=2;LUT2=1;LUT6=5"
23,0.309,5.000,4.480,1.190,3.290,0.734,6,"a_q_reg[3]/C","ecc_acc_dst_q_reg[0]/CE","TOP control","FDCE=2;LUT2=1;LUT6=5"
24,0.309,5.000,4.480,1.190,3.290,0.734,6,"a_q_reg[3]/C","ecc_acc_dst_q_reg[1]/CE","TOP control","FDCE=2;LUT2=1;LUT6=5"
25,0.309,5.000,4.480,1.190,3.290,0.734,6,"a_q_reg[3]/C","ecc_acc_dst_q_reg[2]/CE","TOP control","FDCE=2;LUT2=1;LUT6=5"
26,0.309,5.000,4.480,1.190,3.290,0.734,6,"a_q_reg[3]/C","ecc_acc_dst_q_reg[3]/CE","TOP control","FDCE=2;LUT2=1;LUT6=5"
27,0.309,5.000,4.480,1.190,3.290,0.734,6,"a_q_reg[3]/C","ecc_acc_dst_q_reg[4]/CE","TOP control","FDCE=2;LUT2=1;LUT6=5"
28,0.309,5.000,4.480,1.190,3.290,0.734,6,"a_q_reg[3]/C","ecc_acc_dst_q_reg[5]/CE","TOP control","FDCE=2;LUT2=1;LUT6=5"
29,0.331,5.000,4.695,2.246,2.449,0.522,7,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[8]/D","P2 popcount capture","CARRY4=4;FDCE=2;LUT3=2;LUT5=1"
30,0.405,5.000,4.592,1.190,3.402,0.741,6,"ecc_leaf_path_q_reg[0]/C","vrf_ra_q_reg[1][4]/D","VRF/read/writeback","FDCE=2;LUT3=1;LUT6=5"
