rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.326,5.000,4.700,2.246,2.454,0.522,7,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[8]/D","P2 popcount capture","CARRY4=4;FDCE=2;LUT3=2;LUT5=1"
2,0.344,5.000,4.445,1.190,3.255,0.732,6,"a_q_reg[4]/C","hperm_dst_base_q_reg[0]/CE","other","FDCE=2;LUT2=1;LUT4=1;LUT6=4"
3,0.344,5.000,4.445,1.190,3.255,0.732,6,"a_q_reg[4]/C","hperm_dst_base_q_reg[1]/CE","other","FDCE=2;LUT2=1;LUT4=1;LUT6=4"
4,0.344,5.000,4.445,1.190,3.255,0.732,6,"a_q_reg[4]/C","hperm_dst_base_q_reg[2]/CE","other","FDCE=2;LUT2=1;LUT4=1;LUT6=4"
5,0.344,5.000,4.445,1.190,3.255,0.732,6,"a_q_reg[4]/C","hperm_dst_base_q_reg[3]/CE","other","FDCE=2;LUT2=1;LUT4=1;LUT6=4"
6,0.344,5.000,4.445,1.190,3.255,0.732,6,"a_q_reg[4]/C","hperm_dst_base_q_reg[4]/CE","other","FDCE=2;LUT2=1;LUT4=1;LUT6=4"
7,0.344,5.000,4.445,1.190,3.255,0.732,6,"a_q_reg[4]/C","hperm_dst_base_q_reg[5]/CE","other","FDCE=2;LUT2=1;LUT4=1;LUT6=4"
8,0.344,5.000,4.445,1.190,3.255,0.732,6,"a_q_reg[4]/C","hperm_src_base_q_reg[0]/CE","other","FDCE=2;LUT2=1;LUT4=1;LUT6=4"
9,0.344,5.000,4.445,1.190,3.255,0.732,6,"a_q_reg[4]/C","hperm_src_base_q_reg[1]/CE","other","FDCE=2;LUT2=1;LUT4=1;LUT6=4"
10,0.344,5.000,4.445,1.190,3.255,0.732,6,"a_q_reg[4]/C","hperm_src_base_q_reg[2]/CE","other","FDCE=2;LUT2=1;LUT4=1;LUT6=4"
11,0.344,5.000,4.445,1.190,3.255,0.732,6,"a_q_reg[4]/C","hperm_src_base_q_reg[3]/CE","other","FDCE=2;LUT2=1;LUT4=1;LUT6=4"
12,0.344,5.000,4.445,1.190,3.255,0.732,6,"a_q_reg[4]/C","hperm_src_base_q_reg[4]/CE","other","FDCE=2;LUT2=1;LUT4=1;LUT6=4"
13,0.344,5.000,4.445,1.190,3.255,0.732,6,"a_q_reg[4]/C","hperm_src_base_q_reg[5]/CE","other","FDCE=2;LUT2=1;LUT4=1;LUT6=4"
14,0.426,5.000,4.600,2.146,2.454,0.533,6,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[7]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1"
15,0.479,5.000,4.547,2.093,2.454,0.540,6,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[6]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1"
16,0.496,5.000,4.501,1.190,3.311,0.736,6,"ecc_pmul_step_q_reg[4]/C","vrf_ra_q_reg[1][1]/D","VRF/read/writeback","FDCE=2;LUT5=1;LUT6=5"
17,0.496,5.000,4.501,1.190,3.311,0.736,6,"ecc_pmul_step_q_reg[4]/C","vrf_ra_q_reg[2][1]/D","VRF/read/writeback","FDCE=2;LUT5=1;LUT6=5"
18,0.496,5.000,4.501,1.190,3.311,0.736,6,"ecc_pmul_step_q_reg[4]/C","vrf_ra_q_reg[3][1]/D","VRF/read/writeback","FDCE=2;LUT5=1;LUT6=5"
19,0.497,5.000,4.500,1.938,2.562,0.569,7,"a_q_reg[4]/C","st_q_reg[2]/D","TOP control","CARRY4=2;FDCE=2;LUT4=1;LUT6=4"
20,0.497,5.000,4.500,1.938,2.562,0.569,7,"a_q_reg[4]/C","st_q_reg[2]_rep/D","TOP control","CARRY4=2;FDCE=2;LUT4=1;LUT6=4"
21,0.497,5.000,4.500,1.938,2.562,0.569,7,"a_q_reg[4]/C","st_q_reg[2]_rep__0/D","TOP control","CARRY4=2;FDCE=2;LUT4=1;LUT6=4"
22,0.497,5.000,4.500,1.938,2.562,0.569,7,"a_q_reg[4]/C","st_q_reg[3]/D","TOP control","CARRY4=2;FDCE=2;LUT4=1;LUT6=4"
23,0.497,5.000,4.500,1.938,2.562,0.569,7,"a_q_reg[4]/C","st_q_reg[3]_rep/D","TOP control","CARRY4=2;FDCE=2;LUT4=1;LUT6=4"
24,0.497,5.000,4.500,1.938,2.562,0.569,7,"a_q_reg[4]/C","st_q_reg[3]_rep__0/D","TOP control","CARRY4=2;FDCE=2;LUT4=1;LUT6=4"
25,0.515,5.000,4.482,1.938,2.544,0.568,7,"a_q_reg[4]/C","res_q_reg[1]/D","scalar response","CARRY4=2;FDCE=2;LUT4=1;LUT5=1;LUT6=3"
26,0.540,5.000,4.249,1.085,3.164,0.745,5,"a_q_reg[4]/C","ecc_dst_q_reg[0]/CE","TOP control","FDCE=2;LUT2=1;LUT5=1;LUT6=3"
27,0.540,5.000,4.249,1.085,3.164,0.745,5,"a_q_reg[4]/C","ecc_dst_q_reg[1]/CE","TOP control","FDCE=2;LUT2=1;LUT5=1;LUT6=3"
28,0.540,5.000,4.249,1.085,3.164,0.745,5,"a_q_reg[4]/C","ecc_dst_q_reg[2]/CE","TOP control","FDCE=2;LUT2=1;LUT5=1;LUT6=3"
29,0.540,5.000,4.249,1.085,3.164,0.745,5,"a_q_reg[4]/C","ecc_dst_q_reg[3]/CE","TOP control","FDCE=2;LUT2=1;LUT5=1;LUT6=3"
30,0.540,5.000,4.249,1.085,3.164,0.745,5,"a_q_reg[4]/C","ecc_dst_q_reg[4]/CE","TOP control","FDCE=2;LUT2=1;LUT5=1;LUT6=3"
31,0.540,5.000,4.249,1.085,3.164,0.745,5,"a_q_reg[4]/C","ecc_dst_q_reg[5]/CE","TOP control","FDCE=2;LUT2=1;LUT5=1;LUT6=3"
32,0.586,5.000,4.203,1.190,3.013,0.717,6,"a_q_reg[18]/C","ecc_acc_dst_q_reg[0]/CE","TOP control","FDCE=2;LUT4=1;LUT5=1;LUT6=4"
33,0.586,5.000,4.203,1.190,3.013,0.717,6,"a_q_reg[18]/C","ecc_acc_dst_q_reg[1]/CE","TOP control","FDCE=2;LUT4=1;LUT5=1;LUT6=4"
34,0.586,5.000,4.203,1.190,3.013,0.717,6,"a_q_reg[18]/C","ecc_acc_dst_q_reg[2]/CE","TOP control","FDCE=2;LUT4=1;LUT5=1;LUT6=4"
35,0.586,5.000,4.203,1.190,3.013,0.717,6,"a_q_reg[18]/C","ecc_acc_dst_q_reg[3]/CE","TOP control","FDCE=2;LUT4=1;LUT5=1;LUT6=4"
36,0.586,5.000,4.203,1.190,3.013,0.717,6,"a_q_reg[18]/C","ecc_acc_dst_q_reg[4]/CE","TOP control","FDCE=2;LUT4=1;LUT5=1;LUT6=4"
37,0.586,5.000,4.203,1.190,3.013,0.717,6,"a_q_reg[18]/C","ecc_acc_dst_q_reg[5]/CE","TOP control","FDCE=2;LUT4=1;LUT5=1;LUT6=4"
38,0.588,5.000,4.201,1.190,3.011,0.717,6,"a_q_reg[18]/C","ecc_src_a_q_reg[0]/CE","other","FDCE=2;LUT4=1;LUT6=5"
39,0.588,5.000,4.201,1.190,3.011,0.717,6,"a_q_reg[18]/C","ecc_src_a_q_reg[1]/CE","other","FDCE=2;LUT4=1;LUT6=5"
40,0.588,5.000,4.201,1.190,3.011,0.717,6,"a_q_reg[18]/C","ecc_src_a_q_reg[2]/CE","other","FDCE=2;LUT4=1;LUT6=5"
41,0.588,5.000,4.201,1.190,3.011,0.717,6,"a_q_reg[18]/C","ecc_src_a_q_reg[3]/CE","other","FDCE=2;LUT4=1;LUT6=5"
42,0.588,5.000,4.201,1.190,3.011,0.717,6,"a_q_reg[18]/C","ecc_src_a_q_reg[4]/CE","other","FDCE=2;LUT4=1;LUT6=5"
43,0.588,5.000,4.201,1.190,3.011,0.717,6,"a_q_reg[18]/C","ecc_src_a_q_reg[5]/CE","other","FDCE=2;LUT4=1;LUT6=5"
44,0.600,5.000,4.426,2.168,2.258,0.510,7,"gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[1][0]/C","group_dist_q_reg[5]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1;LUT6=1"
45,0.637,5.000,4.360,1.085,3.275,0.751,5,"st_q_reg[4]_rep__1/C","vrf_ra_q_reg[1][3]/D","VRF/read/writeback","FDCE=2;LUT4=1;LUT5=1;LUT6=3"
46,0.637,5.000,4.360,1.085,3.275,0.751,5,"st_q_reg[4]_rep__1/C","vrf_ra_q_reg[2][3]/D","VRF/read/writeback","FDCE=2;LUT4=1;LUT5=1;LUT6=3"
47,0.637,5.000,4.360,1.085,3.275,0.751,5,"st_q_reg[4]_rep__1/C","vrf_ra_q_reg[3][3]/D","VRF/read/writeback","FDCE=2;LUT4=1;LUT5=1;LUT6=3"
48,0.670,5.000,4.327,1.190,3.137,0.725,6,"a_q_reg[4]/C","vrf_ra_q_reg[0][3]/D","VRF/read/writeback","FDCE=2;LUT2=1;LUT6=5"
49,0.670,5.000,4.327,1.190,3.137,0.725,6,"a_q_reg[4]/C","vrf_ra_q_reg[0][4]/D","VRF/read/writeback","FDCE=2;LUT2=1;LUT6=5"
50,0.680,5.000,4.317,1.105,3.212,0.744,5,"hperm_lane_base_q_reg[0]_rep__5/C","lane_result_q_reg[3][22]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
51,0.680,5.000,4.317,1.105,3.212,0.744,5,"hperm_lane_base_q_reg[0]_rep__4/C","lane_result_q_reg[3][23]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT5=1;LUT6=3"
52,0.680,5.000,4.317,1.105,3.212,0.744,5,"hperm_lane_base_q_reg[0]_rep__3/C","lane_result_q_reg[3][24]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
