rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__5/C","lane_result_q_reg[0][22]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
2,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__4/C","lane_result_q_reg[0][23]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT5=1;LUT6=3"
3,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__3/C","lane_result_q_reg[0][24]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
4,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__2/C","lane_result_q_reg[0][25]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
5,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__1/C","lane_result_q_reg[0][26]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
6,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__0/C","lane_result_q_reg[0][27]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT5=1;LUT6=3"
7,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__3/C","lane_result_q_reg[0][32]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
8,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__5/C","lane_result_q_reg[0][38]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
9,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__4/C","lane_result_q_reg[0][39]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT5=1;LUT6=3"
10,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__3/C","lane_result_q_reg[0][40]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
11,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__5/C","lane_result_q_reg[0][54]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
12,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__4/C","lane_result_q_reg[0][55]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT5=1;LUT6=3"
13,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__3/C","lane_result_q_reg[0][56]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
14,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__2/C","lane_result_q_reg[0][57]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
15,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__1/C","lane_result_q_reg[0][58]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
16,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__0/C","lane_result_q_reg[0][59]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT5=1;LUT6=3"
17,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep/C","lane_result_q_reg[0][60]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
18,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__5/C","lane_result_q_reg[0][62]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
19,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__4/C","lane_result_q_reg[0][63]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT5=1;LUT6=3"
20,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__3/C","lane_result_q_reg[1][0]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
21,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__5/C","lane_result_q_reg[1][6]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
22,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__4/C","lane_result_q_reg[1][7]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT5=1;LUT6=3"
23,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__3/C","lane_result_q_reg[1][8]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
24,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__5/C","lane_result_q_reg[2][22]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
25,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__4/C","lane_result_q_reg[2][23]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT5=1;LUT6=3"
26,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__3/C","lane_result_q_reg[2][24]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
27,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__2/C","lane_result_q_reg[2][25]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
28,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__1/C","lane_result_q_reg[2][26]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
29,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__0/C","lane_result_q_reg[2][27]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT5=1;LUT6=3"
30,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep/C","lane_result_q_reg[2][28]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
31,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__5/C","lane_result_q_reg[2][30]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
32,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__4/C","lane_result_q_reg[2][31]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT5=1;LUT6=3"
33,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__3/C","lane_result_q_reg[2][32]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
34,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__2/C","lane_result_q_reg[2][33]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
35,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__1/C","lane_result_q_reg[2][34]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
36,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep__0/C","lane_result_q_reg[2][35]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT5=1;LUT6=3"
37,0.324,5.000,4.673,1.105,3.568,0.764,5,"hperm_lane_base_q_reg[1]_rep/C","lane_result_q_reg[2][36]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT6=4"
