rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.069,5.000,4.960,1.391,3.569,0.720,7,"FSM_onehot_st_q_reg[26]_rep/C","lane_result_q_reg[1][23]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT5=1;LUT6=4;MUXF7=1"
2,0.069,5.000,4.960,1.391,3.569,0.720,7,"FSM_onehot_st_q_reg[26]_rep/C","lane_result_q_reg[2][23]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT5=1;LUT6=4;MUXF7=1"
3,0.069,5.000,4.960,1.391,3.569,0.720,7,"FSM_onehot_st_q_reg[26]_rep/C","lane_result_q_reg[3][23]/D","P2 lane result capture","FDCE=2;LUT3=1;LUT5=1;LUT6=4;MUXF7=1"
4,0.088,5.000,4.941,1.391,3.550,0.718,7,"FSM_onehot_st_q_reg[26]_rep/C","lane_result_q_reg[0][55]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT5=1;LUT6=4;MUXF7=1"
5,0.088,5.000,4.941,1.391,3.550,0.718,7,"FSM_onehot_st_q_reg[26]_rep/C","lane_result_q_reg[1][55]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT5=1;LUT6=4;MUXF7=1"
6,0.088,5.000,4.941,1.391,3.550,0.718,7,"FSM_onehot_st_q_reg[26]_rep/C","lane_result_q_reg[2][55]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT5=1;LUT6=4;MUXF7=1"
7,0.088,5.000,4.941,1.391,3.550,0.718,7,"FSM_onehot_st_q_reg[26]_rep/C","lane_result_q_reg[3][55]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT5=1;LUT6=4;MUXF7=1"
8,0.099,5.000,4.930,1.391,3.539,0.718,7,"FSM_onehot_st_q_reg[26]_rep/C","lane_result_q_reg[0][63]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT5=1;LUT6=4;MUXF7=1"
9,0.099,5.000,4.930,1.391,3.539,0.718,7,"FSM_onehot_st_q_reg[26]_rep/C","lane_result_q_reg[1][63]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT5=1;LUT6=4;MUXF7=1"
10,0.099,5.000,4.930,1.391,3.539,0.718,7,"FSM_onehot_st_q_reg[26]_rep/C","lane_result_q_reg[2][63]/D","P2 lane result capture","FDCE=2;LUT4=1;LUT5=1;LUT6=4;MUXF7=1"
