rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.185,5.000,4.812,1.105,3.707,0.770,5,"gen_lane[0].i_p2_pop_slice/bool_result_q_reg[21]/C","gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][4]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
2,0.185,5.000,4.812,1.105,3.707,0.770,5,"gen_lane[0].i_p2_pop_slice/bool_result_q_reg[21]/C","gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][5]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
3,0.185,5.000,4.812,1.105,3.707,0.770,5,"gen_lane[0].i_p2_pop_slice/bool_result_q_reg[53]/C","gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[1][4]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
4,0.185,5.000,4.812,1.105,3.707,0.770,5,"gen_lane[0].i_p2_pop_slice/bool_result_q_reg[53]/C","gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[1][5]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
5,0.185,5.000,4.812,1.105,3.707,0.770,5,"gen_lane[1].i_p2_pop_slice/bool_result_q_reg[21]/C","gen_lane[1].i_p2_pop_slice/popcount_part_q_o_reg[0][4]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
6,0.185,5.000,4.812,1.105,3.707,0.770,5,"gen_lane[1].i_p2_pop_slice/bool_result_q_reg[21]/C","gen_lane[1].i_p2_pop_slice/popcount_part_q_o_reg[0][5]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
7,0.185,5.000,4.812,1.105,3.707,0.770,5,"gen_lane[1].i_p2_pop_slice/bool_result_q_reg[53]/C","gen_lane[1].i_p2_pop_slice/popcount_part_q_o_reg[1][4]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
8,0.185,5.000,4.812,1.105,3.707,0.770,5,"gen_lane[1].i_p2_pop_slice/bool_result_q_reg[53]/C","gen_lane[1].i_p2_pop_slice/popcount_part_q_o_reg[1][5]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
9,0.185,5.000,4.812,1.105,3.707,0.770,5,"gen_lane[2].i_p2_pop_slice/bool_result_q_reg[21]/C","gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[0][4]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
10,0.185,5.000,4.812,1.105,3.707,0.770,5,"gen_lane[2].i_p2_pop_slice/bool_result_q_reg[21]/C","gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[0][5]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
11,0.185,5.000,4.812,1.105,3.707,0.770,5,"gen_lane[2].i_p2_pop_slice/bool_result_q_reg[53]/C","gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[1][4]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
12,0.185,5.000,4.812,1.105,3.707,0.770,5,"gen_lane[2].i_p2_pop_slice/bool_result_q_reg[53]/C","gen_lane[2].i_p2_pop_slice/popcount_part_q_o_reg[1][5]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
13,0.185,5.000,4.812,1.105,3.707,0.770,5,"gen_lane[3].i_p2_pop_slice/bool_result_q_reg[21]/C","gen_lane[3].i_p2_pop_slice/popcount_part_q_o_reg[0][4]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
14,0.185,5.000,4.812,1.105,3.707,0.770,5,"gen_lane[3].i_p2_pop_slice/bool_result_q_reg[21]/C","gen_lane[3].i_p2_pop_slice/popcount_part_q_o_reg[0][5]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
15,0.185,5.000,4.812,1.105,3.707,0.770,5,"gen_lane[3].i_p2_pop_slice/bool_result_q_reg[53]/C","gen_lane[3].i_p2_pop_slice/popcount_part_q_o_reg[1][4]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
16,0.185,5.000,4.812,1.105,3.707,0.770,5,"gen_lane[3].i_p2_pop_slice/bool_result_q_reg[53]/C","gen_lane[3].i_p2_pop_slice/popcount_part_q_o_reg[1][5]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
17,0.204,5.000,4.793,1.105,3.688,0.769,5,"gen_lane[0].i_p2_pop_slice/bool_result_q_reg[21]/C","gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][3]/D","P2 popcount capture","FDCE=2;LUT3=1;LUT5=1;LUT6=3"
