signal_or_pattern,presence,object_kind,max_fanout,objects,hierarchy,appears_in_top5,appears_in_targeted_paths,load_cells,load_lanes,cross_multiple_lanes,interpretation
"p1_pop_d",1,"cell/net",4,"p1_pop_d",".",0,0,4,"0;1;2;3",1,"present; inspect fanout/cross-lane loads"
"p1_xor_d",1,"cell/net",4,"p1_xor_d",".",0,0,4,"0;1;2;3",1,"present; inspect fanout/cross-lane loads"
"pop_q",1,"cell/net",2201,"gen_lane[0].i_p2_pop_slice/pop_q_reg;gen_lane[1].i_p2_pop_slice/pop_q_reg;gen_lane[2].i_p2_pop_slice/pop_q_reg;gen_lane[3].i_p2_pop_slice/pop_q_i_1;gen_lane[3].i_p2_pop_slice/pop_q_reg;gen_lane[0].i_p2_pop_slice/pop_q;gen_lane[1].i_p2_pop_slice/pop_q;gen_lane[1].i_p2_pop_slice/pop_q_reg_0;gen_lane[2].i_p2_pop_slice/pop_q;gen_lane[2].i_p2_pop_slice/pop_q_reg_0;gen_lane[3].i_p2_pop_slice/pop_q;gen_lane[3].i_p2_pop_slice/pop_q_reg_0","gen_lane[0].i_p2_pop_slice;gen_lane[1].i_p2_pop_slice;gen_lane[2].i_p2_pop_slice;gen_lane[3].i_p2_pop_slice",0,0,6635,"0;1;2;3",1,"present; inspect fanout/cross-lane loads"
"xor_q",1,"cell/net",13,"gen_lane[0].i_p2_pop_slice/xor_q_reg;gen_lane[1].i_p2_pop_slice/xor_q_reg;gen_lane[2].i_p2_pop_slice/xor_q_reg;gen_lane[3].i_p2_pop_slice/xor_q_i_1;gen_lane[3].i_p2_pop_slice/xor_q_reg;gen_lane[0].i_p2_pop_slice/xor_q;gen_lane[1].i_p2_pop_slice/xor_q;gen_lane[2].i_p2_pop_slice/xor_q;gen_lane[3].i_p2_pop_slice/xor_q;gen_lane[3].i_p2_pop_slice/xor_q_reg_0[0];gen_lane[3].i_p2_pop_slice/xor_q_reg_0[1];gen_lane[3].i_p2_pop_slice/xor_q_reg_0[2]","gen_lane[0].i_p2_pop_slice;gen_lane[1].i_p2_pop_slice;gen_lane[2].i_p2_pop_slice;gen_lane[3].i_p2_pop_slice",0,0,42,"0;1;2;3",0,"present; fanout appears limited"
"hdec_p2_pop_slice",0,"cell/net",0,"","",1,1,0,"",0,"not found"
"i_p2_pop_slice",1,"cell/net",2889,"gen_lane[0].i_p2_pop_slice;gen_lane[0].i_p2_pop_slice/GND;gen_lane[0].i_p2_pop_slice/VCC;gen_lane[0].i_p2_pop_slice/hmatch_best_dist_q[10]_i_1;gen_lane[0].i_p2_pop_slice/hmatch_best_dist_q[10]_i_3;gen_lane[0].i_p2_pop_slice/hmatch_best_dist_q[10]_i_4;gen_lane[0].i_p2_pop_slice/hmatch_best_dist_q[10]_i_5;gen_lane[0].i_p2_pop_slice/hmatch_candidate_dist_q[10]_i_2;gen_lane[0].i_p2_pop_slice/hmatch_candidate_dist_q[8]_i_1;gen_lane[0].i_p2_pop_slice/hmatch_candidate_dist_q[9]_i_1;gen_lane[0].i_p2_pop_slice/hmatch_update_q_i_1;gen_lane[0].i_p2_pop_slice/hmatch_update_q_i_3;gen_lane[0].i_p2_pop_slice/hmatch_update_q_i_5;gen_lane[0].i_p2_pop_slice/hmatch_update_q_i_6;gen_lane[0].i_p2_pop_slice/hmatch_update_q_i_7;gen_lane[0].i_p2_pop_slice/hmatch_update_q_i_8;gen_lane[0].i_p2_pop_slice/hmatch_update_q_i_9;gen_lane[0].i_p2_pop_slice/hmatch_update_q_reg_i_2;gen_lane[0].i_p2_pop_slice/hsim_total_q[10]_i_12;gen_lane[0].i_p2_pop_slice/hsim_total_q[10]_i_13;gen_lane[0].i_p2_pop_slice/hsim_total_q[10]_i_14",".;gen_lane[0].i_p2_pop_slice;gen_lane[0].i_p2_pop_slice/i_popcount;gen_lane[1].i_p2_pop_slice;gen_lane[1].i_p2_pop_slice/i_popcount;gen_lane[2].i_p2_pop_slice;gen_lane[2].i_p2_pop_slice/i_popcount;gen_lane[3].i_p2_pop_slice;gen_lane[3].i_p2_pop_slice/i_popcount",1,1,27615,"0;1;2;3",1,"present; inspect fanout/cross-lane loads"
"lane_popcnt",1,"cell/net",3,"gen_lane[2].i_p2_pop_slice/lane_popcnt_q[2][0];lane_popcnt_q[0][0];lane_popcnt_q[0][1];lane_popcnt_q[0][2];lane_popcnt_q[0][3];lane_popcnt_q[0][4];lane_popcnt_q[0][5];lane_popcnt_q[0][6];lane_popcnt_q[1][0];lane_popcnt_q[1][1];lane_popcnt_q[1][2];lane_popcnt_q[1][3];lane_popcnt_q[1][4];lane_popcnt_q[1][5];lane_popcnt_q[1][6];lane_popcnt_q[2][1];lane_popcnt_q[2][2];lane_popcnt_q[2][3];lane_popcnt_q[2][4];lane_popcnt_q[2][5];lane_popcnt_q[2][6]",".;gen_lane[2].i_p2_pop_slice",0,0,76,"0;1;2;3",1,"present; inspect fanout/cross-lane loads"
"popcount",1,"cell/net",2201,"gen_lane[0].i_p2_pop_slice/i_popcount;gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_11;gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_12;gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_16;gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_17;gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_2;gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_21;gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_22;gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_27;gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_3;gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_4;gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[0]_i_5;gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_10;gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_11;gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_14;gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_15;gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_16;gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_18;gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_2;gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_20;gen_lane[0].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_22",".;gen_lane[0].i_p2_pop_slice;gen_lane[0].i_p2_pop_slice/i_popcount;gen_lane[1].i_p2_pop_slice;gen_lane[1].i_p2_pop_slice/i_popcount;gen_lane[2].i_p2_pop_slice;gen_lane[2].i_p2_pop_slice/i_popcount;gen_lane[3].i_p2_pop_slice;gen_lane[3].i_p2_pop_slice/i_popcount;i_vrf",1,1,5028,"0;1;2;3",1,"present; inspect fanout/cross-lane loads"
"lane_bool",1,"cell/net",6,"gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][0];gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][10];gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][11];gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][12];gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][13];gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][14];gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][15];gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][16];gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][17];gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][18];gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][19];gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][1];gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][20];gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][21];gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][22];gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][23];gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][24];gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][25];gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][26];gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][27];gen_lane[0].i_p2_pop_slice/i_popcount/lane_bool_result[0][28]",".;gen_lane[0].i_p2_pop_slice;gen_lane[0].i_p2_pop_slice/i_popcount;gen_lane[1].i_p2_pop_slice;gen_lane[1].i_p2_pop_slice/i_popcount;gen_lane[2].i_p2_pop_slice;gen_lane[2].i_p2_pop_slice/i_popcount;gen_lane[3].i_p2_pop_slice;gen_lane[3].i_p2_pop_slice/i_popcount;i_vrf",0,0,2924,"0;1;2;3",0,"present; fanout appears limited"
"lane_valid",0,"cell/net",0,"","",0,0,0,"",0,"not found"
