pattern,object_name,object_type,ref_name,hierarchy,fanout,driver,load_cells,load_lanes,cross_multiple_lanes
"pop_q","gen_lane[0].i_p2_pop_slice/pop_q_reg",cell,"FDCE","gen_lane[0].i_p2_pop_slice",0,,0,,0
"pop_q","gen_lane[1].i_p2_pop_slice/pop_q_reg",cell,"FDCE","gen_lane[1].i_p2_pop_slice",0,,0,,0
"pop_q","gen_lane[2].i_p2_pop_slice/pop_q_reg",cell,"FDCE","gen_lane[2].i_p2_pop_slice",0,,0,,0
"pop_q","gen_lane[3].i_p2_pop_slice/pop_q_i_1",cell,"LUT3","gen_lane[3].i_p2_pop_slice",0,,0,,0
"pop_q","gen_lane[3].i_p2_pop_slice/pop_q_reg",cell,"FDCE","gen_lane[3].i_p2_pop_slice",0,,0,,0
"pop_q","gen_lane[0].i_p2_pop_slice/pop_q",net,,"gen_lane[0].i_p2_pop_slice",8,"gen_lane[0].i_p2_pop_slice/pop_q_reg/Q",8,"0",0
"pop_q","gen_lane[1].i_p2_pop_slice/pop_q",net,,"gen_lane[1].i_p2_pop_slice",8,"gen_lane[1].i_p2_pop_slice/pop_q_reg/Q",8,"1",0
"pop_q","gen_lane[1].i_p2_pop_slice/pop_q_reg_0",net,,"gen_lane[1].i_p2_pop_slice",2201,"i_vrf/FSM_onehot_st_q[0]_i_3/O",2201,"0;1;2;3",1
"pop_q","gen_lane[2].i_p2_pop_slice/pop_q",net,,"gen_lane[2].i_p2_pop_slice",8,"gen_lane[2].i_p2_pop_slice/pop_q_reg/Q",8,"2",0
"pop_q","gen_lane[2].i_p2_pop_slice/pop_q_reg_0",net,,"gen_lane[2].i_p2_pop_slice",2201,"i_vrf/FSM_onehot_st_q[0]_i_3/O",2201,"0;1;2;3",1
"pop_q","gen_lane[3].i_p2_pop_slice/pop_q",net,,"gen_lane[3].i_p2_pop_slice",8,"gen_lane[3].i_p2_pop_slice/pop_q_reg/Q",8,"3",0
