rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,-0.051,5.000,4.701,1.190,3.511,0.747,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_63_63/DP/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
2,-0.051,5.000,4.701,1.190,3.511,0.747,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r2_0_63_63_63/DP/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
3,-0.051,5.000,4.701,1.190,3.511,0.747,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_63_63/DP/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
4,-0.051,5.000,4.701,1.190,3.511,0.747,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r2_0_63_63_63/DP/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
5,-0.051,5.000,4.701,1.190,3.511,0.747,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b2_reg_r1_0_63_63_63/DP/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
6,-0.051,5.000,4.701,1.190,3.511,0.747,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b2_reg_r2_0_63_63_63/DP/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
7,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_0_2/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
8,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_12_14/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
9,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_15_17/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
10,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_18_20/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
11,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_21_23/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
12,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_24_26/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
13,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_27_29/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
14,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_30_32/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
15,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_33_35/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
16,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_36_38/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
17,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_39_41/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
18,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_3_5/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
19,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_42_44/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
20,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_45_47/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
21,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_48_50/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
22,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_51_53/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
23,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_54_56/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
24,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_57_59/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
25,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_60_62/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
26,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_6_8/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
27,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r1_0_63_9_11/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
28,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r2_0_63_0_2/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
29,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r2_0_63_12_14/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
30,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r2_0_63_15_17/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
31,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b0_reg_r2_0_63_18_20/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
