rank,simple_path,rtl_start,rtl_end,delay_ns,logic_ns,route_ns,slack_ns,conservative_fmax_mhz,notes
1,HMATCH current distance to best-distance write enable bit0,hsim_total_q_reg[0]/C,hmatch_best_dist_q_reg[0]/CE,6.330,3.206,3.124,-1.541,152.882,same compare/update CE cone
2,HMATCH current distance to best-distance write enable bit10,hsim_total_q_reg[0]/C,hmatch_best_dist_q_reg[10]/CE,6.330,3.206,3.124,-1.541,152.882,same compare/update CE cone
3,HMATCH current distance to best-distance write enable bit1,hsim_total_q_reg[0]/C,hmatch_best_dist_q_reg[1]/CE,6.330,3.206,3.124,-1.541,152.882,same compare/update CE cone
4,HMATCH current distance to best-distance write enable bit2,hsim_total_q_reg[0]/C,hmatch_best_dist_q_reg[2]/CE,6.330,3.206,3.124,-1.541,152.882,same compare/update CE cone
5,HMATCH current distance to best-distance write enable bit3,hsim_total_q_reg[0]/C,hmatch_best_dist_q_reg[3]/CE,6.330,3.206,3.124,-1.541,152.882,same compare/update CE cone
6,HMATCH current distance to best-distance write enable bit4,hsim_total_q_reg[0]/C,hmatch_best_dist_q_reg[4]/CE,6.330,3.206,3.124,-1.541,152.882,same compare/update CE cone
7,HMATCH current distance to best-distance write enable bit5,hsim_total_q_reg[0]/C,hmatch_best_dist_q_reg[5]/CE,6.330,3.206,3.124,-1.541,152.882,same compare/update CE cone
8,HMATCH current distance to best-distance write enable bit6,hsim_total_q_reg[0]/C,hmatch_best_dist_q_reg[6]/CE,6.330,3.206,3.124,-1.541,152.882,same compare/update CE cone
9,HMATCH current distance to best-distance write enable bit7,hsim_total_q_reg[0]/C,hmatch_best_dist_q_reg[7]/CE,6.330,3.206,3.124,-1.541,152.882,same compare/update CE cone
10,HMATCH current distance to best-distance write enable bit8,hsim_total_q_reg[0]/C,hmatch_best_dist_q_reg[8]/CE,6.330,3.206,3.124,-1.541,152.882,same compare/update CE cone
