rank,net,fanout,driver,load_cells,load_lanes,cross_multiple_lanes
1,"clk_i",2848,"",2848,"0;1;2;3",1
2,"gen_lane[0].i_p2_pop_slice/clk_i",2848,"",2848,"0;1;2;3",1
3,"gen_lane[1].i_p2_pop_slice/clk_i",2848,"",2848,"0;1;2;3",1
4,"gen_lane[2].i_p2_pop_slice/clk_i",2848,"",2848,"0;1;2;3",1
5,"gen_lane[3].i_p2_pop_slice/clk_i",2848,"",2848,"0;1;2;3",1
6,"i_vrf/clk_i",2848,"",2848,"0;1;2;3",1
7,"i_vrf/vrf_b0_reg_r1_0_63_0_2/WCLK",2848,"",2848,"0;1;2;3",1
8,"i_vrf/vrf_b0_reg_r1_0_63_12_14/WCLK",2848,"",2848,"0;1;2;3",1
9,"i_vrf/vrf_b0_reg_r1_0_63_15_17/WCLK",2848,"",2848,"0;1;2;3",1
10,"i_vrf/vrf_b0_reg_r1_0_63_18_20/WCLK",2848,"",2848,"0;1;2;3",1
11,"i_vrf/vrf_b0_reg_r1_0_63_21_23/WCLK",2848,"",2848,"0;1;2;3",1
12,"i_vrf/vrf_b0_reg_r1_0_63_24_26/WCLK",2848,"",2848,"0;1;2;3",1
13,"i_vrf/vrf_b0_reg_r1_0_63_27_29/WCLK",2848,"",2848,"0;1;2;3",1
14,"i_vrf/vrf_b0_reg_r1_0_63_30_32/WCLK",2848,"",2848,"0;1;2;3",1
15,"i_vrf/vrf_b0_reg_r1_0_63_33_35/WCLK",2848,"",2848,"0;1;2;3",1
16,"i_vrf/vrf_b0_reg_r1_0_63_36_38/WCLK",2848,"",2848,"0;1;2;3",1
17,"i_vrf/vrf_b0_reg_r1_0_63_39_41/WCLK",2848,"",2848,"0;1;2;3",1
18,"i_vrf/vrf_b0_reg_r1_0_63_3_5/WCLK",2848,"",2848,"0;1;2;3",1
19,"i_vrf/vrf_b0_reg_r1_0_63_42_44/WCLK",2848,"",2848,"0;1;2;3",1
20,"i_vrf/vrf_b0_reg_r1_0_63_45_47/WCLK",2848,"",2848,"0;1;2;3",1
21,"i_vrf/vrf_b0_reg_r1_0_63_48_50/WCLK",2848,"",2848,"0;1;2;3",1
22,"i_vrf/vrf_b0_reg_r1_0_63_51_53/WCLK",2848,"",2848,"0;1;2;3",1
23,"i_vrf/vrf_b0_reg_r1_0_63_54_56/WCLK",2848,"",2848,"0;1;2;3",1
24,"i_vrf/vrf_b0_reg_r1_0_63_57_59/WCLK",2848,"",2848,"0;1;2;3",1
25,"i_vrf/vrf_b0_reg_r1_0_63_60_62/WCLK",2848,"",2848,"0;1;2;3",1
