signal_or_pattern,presence,object_kind,max_fanout,objects,hierarchy,appears_in_top5,appears_in_targeted_paths,load_cells,load_lanes,cross_multiple_lanes,interpretation
"p1_pop_d",1,"cell/net",4,"p1_pop_d",".",0,0,4,"0;1;2;3",1,"present; inspect fanout/cross-lane loads"
"p1_xor_d",1,"cell/net",4,"p1_xor_d",".",0,0,4,"0;1;2;3",1,"present; inspect fanout/cross-lane loads"
"pop_q",1,"cell/net",2160,"gen_lane[0].i_p2_pop_slice/pop_q_reg;gen_lane[1].i_p2_pop_slice/pop_q_reg;gen_lane[2].i_p2_pop_slice/pop_q_reg;gen_lane[3].i_p2_pop_slice/pop_q_i_1;gen_lane[3].i_p2_pop_slice/pop_q_reg;gen_lane[0].i_p2_pop_slice/pop_q;gen_lane[1].i_p2_pop_slice/pop_q;gen_lane[1].i_p2_pop_slice/pop_q_reg_0;gen_lane[2].i_p2_pop_slice/pop_q;gen_lane[2].i_p2_pop_slice/pop_q_reg_0;gen_lane[3].i_p2_pop_slice/pop_q;gen_lane[3].i_p2_pop_slice/pop_q_reg_0;gen_lane[3].i_p2_pop_slice/pop_q_reg_1[0];gen_lane[3].i_p2_pop_slice/pop_q_reg_1[1];gen_lane[3].i_p2_pop_slice/pop_q_reg_1[2]","gen_lane[0].i_p2_pop_slice;gen_lane[1].i_p2_pop_slice;gen_lane[2].i_p2_pop_slice;gen_lane[3].i_p2_pop_slice",0,0,6529,"0;1;2;3",1,"present; inspect fanout/cross-lane loads"
"xor_q",1,"cell/net",1,"gen_lane[0].i_p2_pop_slice/xor_q_reg;gen_lane[1].i_p2_pop_slice/xor_q_reg;gen_lane[2].i_p2_pop_slice/xor_q_reg;gen_lane[3].i_p2_pop_slice/xor_q_i_1;gen_lane[3].i_p2_pop_slice/xor_q_reg;gen_lane[0].i_p2_pop_slice/xor_q;gen_lane[1].i_p2_pop_slice/xor_q;gen_lane[2].i_p2_pop_slice/xor_q;gen_lane[3].i_p2_pop_slice/xor_q","gen_lane[0].i_p2_pop_slice;gen_lane[1].i_p2_pop_slice;gen_lane[2].i_p2_pop_slice;gen_lane[3].i_p2_pop_slice",0,0,4,"0;1;2;3",0,"present; fanout appears limited"
"hdec_p2_pop_slice",0,"cell/net",0,"","",1,1,0,"",0,"not found"
"i_p2_pop_slice",1,"cell/net",2848,"gen_lane[0].i_p2_pop_slice;gen_lane[0].i_p2_pop_slice/VCC;gen_lane[0].i_p2_pop_slice/hsim_total_q[3]_i_12;gen_lane[0].i_p2_pop_slice/lane_result_q[0][63]_i_1;gen_lane[0].i_p2_pop_slice/pop_q_reg;gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[0];gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[1];gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[2];gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[3];gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[4];gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[5];gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[6];gen_lane[0].i_p2_pop_slice/xor_q_reg;gen_lane[1].i_p2_pop_slice;gen_lane[1].i_p2_pop_slice/VCC;gen_lane[1].i_p2_pop_slice/lane_result_q[1][63]_i_1;gen_lane[1].i_p2_pop_slice/pop_q_reg;gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[0];gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[1];gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[2];gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[3]",".;gen_lane[0].i_p2_pop_slice;gen_lane[1].i_p2_pop_slice;gen_lane[2].i_p2_pop_slice;gen_lane[3].i_p2_pop_slice",1,1,23258,"0;1;2;3",1,"present; inspect fanout/cross-lane loads"
"lane_popcnt",1,"cell/net",4,"gen_lane[2].i_p2_pop_slice/lane_popcnt_q[2][2];gen_lane[2].i_p2_pop_slice/lane_popcnt_q[2][3];gen_lane[2].i_p2_pop_slice/lane_popcnt_q[2][4];lane_popcnt_q[0][0];lane_popcnt_q[0][1];lane_popcnt_q[0][2];lane_popcnt_q[0][3];lane_popcnt_q[0][4];lane_popcnt_q[0][5];lane_popcnt_q[0][6];lane_popcnt_q[1][0];lane_popcnt_q[1][1];lane_popcnt_q[1][2];lane_popcnt_q[1][3];lane_popcnt_q[1][4];lane_popcnt_q[1][5];lane_popcnt_q[1][6];lane_popcnt_q[2][0];lane_popcnt_q[2][1];lane_popcnt_q[2][5];lane_popcnt_q[2][6]",".;gen_lane[2].i_p2_pop_slice",0,0,79,"0;2;3",1,"present; inspect fanout/cross-lane loads"
"popcount",1,"cell/net",2160,"gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[0];gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[1];gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[2];gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[3];gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[4];gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[5];gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[6];gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[0];gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[1];gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[2];gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[3];gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[4];gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[5];gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[6];gen_lane[2].i_p2_pop_slice/popcount_q_o_reg[0];gen_lane[2].i_p2_pop_slice/popcount_q_o_reg[1];gen_lane[2].i_p2_pop_slice/popcount_q_o_reg[2];gen_lane[2].i_p2_pop_slice/popcount_q_o_reg[3];gen_lane[2].i_p2_pop_slice/popcount_q_o_reg[4];gen_lane[2].i_p2_pop_slice/popcount_q_o_reg[5];gen_lane[2].i_p2_pop_slice/popcount_q_o_reg[6]",".;gen_lane[0].i_p2_pop_slice;gen_lane[1].i_p2_pop_slice;gen_lane[2].i_p2_pop_slice;gen_lane[3].i_p2_pop_slice;i_vrf",1,1,3495,"0;1;2;3",1,"present; inspect fanout/cross-lane loads"
"lane_bool",1,"cell/net",2,"i_vrf/lane_bool_result[0][0];i_vrf/lane_bool_result[1][0];i_vrf/lane_bool_result[2][0];i_vrf/lane_bool_result[3][0]","i_vrf",0,0,8,"",0,"present; fanout appears limited"
"lane_valid",0,"cell/net",0,"","",0,0,0,"",0,"not found"
