rank,net,fanout,driver,load_cells,load_lanes,cross_multiple_lanes
1,"clk_i",1913,"",1909,"0;1;2;3",1
2,"gen_lane[0].i_p2_pop_slice/clk_i",1913,"",1909,"0;1;2;3",1
3,"gen_lane[1].i_p2_pop_slice/clk_i",1913,"",1909,"0;1;2;3",1
4,"gen_lane[2].i_p2_pop_slice/clk_i",1913,"",1909,"0;1;2;3",1
5,"gen_lane[3].i_p2_pop_slice/clk_i",1913,"",1909,"0;1;2;3",1
6,"i_vrf/clk_i",1913,"",1909,"0;1;2;3",1
7,"i_vrf/gen_vrf_bram[0].i_vrf_bank/clk_i",1913,"",1909,"0;1;2;3",1
8,"i_vrf/gen_vrf_bram[0].i_vrf_bank/xpm_memory_base_inst/clka",1913,"",1909,"0;1;2;3",1
9,"i_vrf/gen_vrf_bram[1].i_vrf_bank/clk_i",1913,"",1909,"0;1;2;3",1
10,"i_vrf/gen_vrf_bram[1].i_vrf_bank/xpm_memory_base_inst/clka",1913,"",1909,"0;1;2;3",1
11,"i_vrf/gen_vrf_bram[2].i_vrf_bank/clk_i",1913,"",1909,"0;1;2;3",1
12,"i_vrf/gen_vrf_bram[2].i_vrf_bank/xpm_memory_base_inst/clka",1913,"",1909,"0;1;2;3",1
13,"i_vrf/gen_vrf_bram[3].i_vrf_bank/clk_i",1913,"",1909,"0;1;2;3",1
14,"i_vrf/gen_vrf_bram[3].i_vrf_bank/xpm_memory_base_inst/clka",1913,"",1909,"0;1;2;3",1
15,"i_vrf_n_0",1909,"i_vrf/gen_vrf_bram[3].i_vrf_bank/FSM_onehot_st_q[0]_i_3/O",1909,"0;1;2;3",1
16,"gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[6]_1",1909,"i_vrf/gen_vrf_bram[3].i_vrf_bank/FSM_onehot_st_q[0]_i_3/O",1909,"0;1;2;3",1
17,"gen_lane[1].i_p2_pop_slice/pop_q_reg_0",1909,"i_vrf/gen_vrf_bram[3].i_vrf_bank/FSM_onehot_st_q[0]_i_3/O",1909,"0;1;2;3",1
18,"gen_lane[2].i_p2_pop_slice/pop_q_reg_0",1909,"i_vrf/gen_vrf_bram[3].i_vrf_bank/FSM_onehot_st_q[0]_i_3/O",1909,"0;1;2;3",1
19,"gen_lane[3].i_p2_pop_slice/pop_q_reg_0",1909,"i_vrf/gen_vrf_bram[3].i_vrf_bank/FSM_onehot_st_q[0]_i_3/O",1909,"0;1;2;3",1
20,"i_vrf/rst_ni_0",1909,"i_vrf/gen_vrf_bram[3].i_vrf_bank/FSM_onehot_st_q[0]_i_3/O",1909,"0;1;2;3",1
21,"i_vrf/gen_vrf_bram[0].i_vrf_bank/rstb",1909,"i_vrf/gen_vrf_bram[3].i_vrf_bank/FSM_onehot_st_q[0]_i_3/O",1909,"0;1;2;3",1
22,"i_vrf/gen_vrf_bram[0].i_vrf_bank/xpm_memory_base_inst/rstb",1909,"i_vrf/gen_vrf_bram[3].i_vrf_bank/FSM_onehot_st_q[0]_i_3/O",1909,"0;1;2;3",1
23,"i_vrf/gen_vrf_bram[1].i_vrf_bank/rstb",1909,"i_vrf/gen_vrf_bram[3].i_vrf_bank/FSM_onehot_st_q[0]_i_3/O",1909,"0;1;2;3",1
24,"i_vrf/gen_vrf_bram[1].i_vrf_bank/xpm_memory_base_inst/rstb",1909,"i_vrf/gen_vrf_bram[3].i_vrf_bank/FSM_onehot_st_q[0]_i_3/O",1909,"0;1;2;3",1
25,"i_vrf/gen_vrf_bram[2].i_vrf_bank/rstb",1909,"i_vrf/gen_vrf_bram[3].i_vrf_bank/FSM_onehot_st_q[0]_i_3/O",1909,"0;1;2;3",1
26,"i_vrf/gen_vrf_bram[2].i_vrf_bank/xpm_memory_base_inst/rstb",1909,"i_vrf/gen_vrf_bram[3].i_vrf_bank/FSM_onehot_st_q[0]_i_3/O",1909,"0;1;2;3",1
27,"i_vrf/gen_vrf_bram[3].i_vrf_bank/rstb",1909,"i_vrf/gen_vrf_bram[3].i_vrf_bank/FSM_onehot_st_q[0]_i_3/O",1909,"0;1;2;3",1
28,"i_vrf/gen_vrf_bram[3].i_vrf_bank/xpm_memory_base_inst/rstb",1909,"i_vrf/gen_vrf_bram[3].i_vrf_bank/FSM_onehot_st_q[0]_i_3/O",1909,"0;1;2;3",1
29,"i_vrf/lane_shift_valid[0]",509,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][63]_i_19/O",509,"",0
30,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_shift_valid[0]",509,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][63]_i_19/O",509,"",0
31,"i_vrf/gen_vrf_bram[1].i_vrf_bank/lane_shift_valid[0]",509,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][63]_i_19/O",509,"",0
32,"i_vrf/gen_vrf_bram[2].i_vrf_bank/lane_shift_valid[0]",509,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][63]_i_19/O",509,"",0
33,"i_vrf/gen_vrf_bram[3].i_vrf_bank/lane_shift_valid[0]",509,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][63]_i_19/O",509,"",0
34,"i_vrf/gen_vrf_bram[0].i_vrf_bank_n_175",262,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][63]_i_14/O",262,"",0
35,"i_vrf/gen_vrf_bram[0].i_vrf_bank/uop_p2_q_reg[use_shift]_0",262,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][63]_i_14/O",262,"",0
36,"i_vrf/gen_vrf_bram[1].i_vrf_bank/lane_result_q_reg[1][63]_4",262,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][63]_i_14/O",262,"",0
37,"i_vrf/gen_vrf_bram[2].i_vrf_bank/lane_result_q_reg[3][59]",262,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][63]_i_14/O",262,"",0
38,"i_vrf/gen_vrf_bram[3].i_vrf_bank/lane_result_q[3][20]_i_2_0",262,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][63]_i_14/O",262,"",0
39,"hcntadd_hv_n",256,"hcntadd_hv_q[3][63]_i_1/O",256,"",0
40,"hperm_a_n",256,"hperm_a_q[3][63]_i_1/O",256,"",0
41,"src0_n",256,"src0_q[3][63]_i_1/O",256,"",0
42,"i_vrf/gen_vrf_bram[0].i_vrf_bank_n_130",256,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][63]_i_12/O",256,"",0
43,"i_vrf/gen_vrf_bram[0].i_vrf_bank/uop_p2_q_reg[perm_nibble][3]",256,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][63]_i_12/O",256,"",0
44,"i_vrf/gen_vrf_bram[1].i_vrf_bank/lane_result_q_reg[1][63]_2",256,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][63]_i_12/O",256,"",0
45,"i_vrf/gen_vrf_bram[2].i_vrf_bank/lane_result_q_reg[3][4]",256,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][63]_i_12/O",256,"",0
46,"i_vrf/gen_vrf_bram[3].i_vrf_bank/lane_result_q_reg[3][20]",256,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][63]_i_12/O",256,"",0
47,"FSM_onehot_st_q_reg_n_0_[1]",204,"FSM_onehot_st_q_reg[1]/Q",204,"2",0
48,"gen_lane[2].i_p2_pop_slice/Q[0]",204,"FSM_onehot_st_q_reg[1]/Q",204,"2",0
49,"i_vrf/lane_result_q[3][63]_i_12[1]",204,"FSM_onehot_st_q_reg[1]/Q",204,"2",0
50,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][63]_i_12_0[1]",204,"FSM_onehot_st_q_reg[1]/Q",204,"2",0
51,"i_vrf/gen_vrf_bram[1].i_vrf_bank/lane_clip_q_reg[1][0][0]",204,"FSM_onehot_st_q_reg[1]/Q",204,"2",0
52,"i_vrf/gen_vrf_bram[2].i_vrf_bank/lane_clip_q_reg[2][0][0]",204,"FSM_onehot_st_q_reg[1]/Q",204,"2",0
53,"i_vrf/gen_vrf_bram[3].i_vrf_bank/lane_clip_q_reg[3][0][0]",204,"FSM_onehot_st_q_reg[1]/Q",204,"2",0
54,"i_vrf/p_0_in[0]",190,"i_vrf/init_cnt_q_reg[6]/Q",190,"",0
55,"i_vrf/gen_vrf_bram[0].i_vrf_bank/gen_wr_a.gen_word_narrow.mem_reg_73[6]",190,"i_vrf/init_cnt_q_reg[6]/Q",190,"",0
56,"i_vrf/gen_vrf_bram[1].i_vrf_bank/Q[6]",190,"i_vrf/init_cnt_q_reg[6]/Q",190,"",0
57,"i_vrf/gen_vrf_bram[2].i_vrf_bank/Q[6]",190,"i_vrf/init_cnt_q_reg[6]/Q",190,"",0
58,"i_vrf/gen_vrf_bram[3].i_vrf_bank/Q[6]",190,"i_vrf/init_cnt_q_reg[6]/Q",190,"",0
59,"i_vrf/p_0_in[1]",189,"i_vrf/init_cnt_q_reg[7]/Q",189,"",0
60,"i_vrf/gen_vrf_bram[0].i_vrf_bank/gen_wr_a.gen_word_narrow.mem_reg_73[7]",189,"i_vrf/init_cnt_q_reg[7]/Q",189,"",0
61,"i_vrf/gen_vrf_bram[1].i_vrf_bank/Q[7]",189,"i_vrf/init_cnt_q_reg[7]/Q",189,"",0
62,"i_vrf/gen_vrf_bram[2].i_vrf_bank/Q[7]",189,"i_vrf/init_cnt_q_reg[7]/Q",189,"",0
63,"i_vrf/gen_vrf_bram[3].i_vrf_bank/Q[7]",189,"i_vrf/init_cnt_q_reg[7]/Q",189,"",0
64,"i_vrf/init_state_q[0]",188,"i_vrf/init_state_q_reg[0]/Q",188,"",0
65,"i_vrf/gen_vrf_bram[0].i_vrf_bank/init_state_q[0]",188,"i_vrf/init_state_q_reg[0]/Q",188,"",0
66,"i_vrf/gen_vrf_bram[1].i_vrf_bank/init_state_q[0]",188,"i_vrf/init_state_q_reg[0]/Q",188,"",0
67,"i_vrf/gen_vrf_bram[2].i_vrf_bank/init_state_q[0]",188,"i_vrf/init_state_q_reg[0]/Q",188,"",0
68,"i_vrf/gen_vrf_bram[3].i_vrf_bank/init_state_q[0]",188,"i_vrf/init_state_q_reg[0]/Q",188,"",0
69,"uop_p3_n",157,"FSM_onehot_st_q_reg[6]/Q",157,"0;1;2;3",1
70,"gen_lane[0].i_p2_pop_slice/Q[0]",157,"FSM_onehot_st_q_reg[6]/Q",157,"0;1;2;3",1
71,"gen_lane[1].i_p2_pop_slice/Q[0]",157,"FSM_onehot_st_q_reg[6]/Q",157,"0;1;2;3",1
72,"gen_lane[2].i_p2_pop_slice/Q[2]",157,"FSM_onehot_st_q_reg[6]/Q",157,"0;1;2;3",1
73,"gen_lane[3].i_p2_pop_slice/Q[0]",157,"FSM_onehot_st_q_reg[6]/Q",157,"0;1;2;3",1
74,"i_vrf/lane_result_q[3][63]_i_12[6]",157,"FSM_onehot_st_q_reg[6]/Q",157,"0;1;2;3",1
75,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][63]_i_12_0[6]",157,"FSM_onehot_st_q_reg[6]/Q",157,"0;1;2;3",1
76,"i_vrf/gen_vrf_bram[1].i_vrf_bank/lane_clip_q_reg[1][0][3]",157,"FSM_onehot_st_q_reg[6]/Q",157,"0;1;2;3",1
77,"i_vrf/gen_vrf_bram[2].i_vrf_bank/lane_clip_q_reg[2][0][2]",157,"FSM_onehot_st_q_reg[6]/Q",157,"0;1;2;3",1
78,"i_vrf/gen_vrf_bram[3].i_vrf_bank/lane_clip_q_reg[3][0][2]",157,"FSM_onehot_st_q_reg[6]/Q",157,"0;1;2;3",1
79,"i_vrf/lane_shift_nibble[0]",156,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][58]_i_8/O",156,"",0
80,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_shift_nibble[0]",156,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][58]_i_8/O",156,"",0
81,"i_vrf/gen_vrf_bram[1].i_vrf_bank/lane_shift_nibble[0]",156,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][58]_i_8/O",156,"",0
82,"i_vrf/gen_vrf_bram[2].i_vrf_bank/lane_shift_nibble[0]",156,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][58]_i_8/O",156,"",0
83,"i_vrf/gen_vrf_bram[3].i_vrf_bank/lane_shift_nibble[0]",156,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][58]_i_8/O",156,"",0
84,"i_vrf/gen_vrf_bram[0].i_vrf_bank_n_176",138,"i_vrf/gen_vrf_bram[0].i_vrf_bank/lane_result_q[3][61]_i_11/O",138,"",0
