rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,-1.866,5.000,6.864,2.755,4.109,0.599,6,"i_vrf/gen_vrf_bram[0].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[5]/D","P2 popcount capture","FDCE=1;LUT3=1;LUT5=3;LUT6=2;RAMB36E1=1"
2,-1.866,5.000,6.864,2.755,4.109,0.599,6,"i_vrf/gen_vrf_bram[0].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[6]/D","P2 popcount capture","FDCE=1;LUT3=1;LUT5=3;LUT6=2;RAMB36E1=1"
3,-1.866,5.000,6.864,2.755,4.109,0.599,6,"i_vrf/gen_vrf_bram[1].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[5]/D","P2 popcount capture","FDCE=1;LUT3=1;LUT5=3;LUT6=2;RAMB36E1=1"
4,-1.866,5.000,6.864,2.755,4.109,0.599,6,"i_vrf/gen_vrf_bram[1].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[6]/D","P2 popcount capture","FDCE=1;LUT3=1;LUT5=3;LUT6=2;RAMB36E1=1"
5,-1.866,5.000,6.864,2.755,4.109,0.599,6,"i_vrf/gen_vrf_bram[2].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[2].i_p2_pop_slice/popcount_q_o_reg[5]/D","P2 popcount capture","FDCE=1;LUT3=1;LUT5=3;LUT6=2;RAMB36E1=1"
6,-1.866,5.000,6.864,2.755,4.109,0.599,6,"i_vrf/gen_vrf_bram[2].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[2].i_p2_pop_slice/popcount_q_o_reg[6]/D","P2 popcount capture","FDCE=1;LUT3=1;LUT5=3;LUT6=2;RAMB36E1=1"
7,-1.866,5.000,6.864,2.755,4.109,0.599,6,"i_vrf/gen_vrf_bram[3].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[3].i_p2_pop_slice/popcount_q_o_reg[5]/D","P2 popcount capture","FDCE=1;LUT3=1;LUT5=3;LUT6=2;RAMB36E1=1"
8,-1.866,5.000,6.864,2.755,4.109,0.599,6,"i_vrf/gen_vrf_bram[3].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[3].i_p2_pop_slice/popcount_q_o_reg[6]/D","P2 popcount capture","FDCE=1;LUT3=1;LUT5=3;LUT6=2;RAMB36E1=1"
9,-1.823,5.000,6.821,2.755,4.066,0.596,6,"i_vrf/gen_vrf_bram[0].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[4]/D","P2 popcount capture","FDCE=1;LUT3=1;LUT6=5;RAMB36E1=1"
10,-1.823,5.000,6.821,2.755,4.066,0.596,6,"i_vrf/gen_vrf_bram[1].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[4]/D","P2 popcount capture","FDCE=1;LUT3=1;LUT6=5;RAMB36E1=1"
11,-1.823,5.000,6.821,2.755,4.066,0.596,6,"i_vrf/gen_vrf_bram[2].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[2].i_p2_pop_slice/popcount_q_o_reg[4]/D","P2 popcount capture","FDCE=1;LUT3=1;LUT6=5;RAMB36E1=1"
12,-1.823,5.000,6.821,2.755,4.066,0.596,6,"i_vrf/gen_vrf_bram[3].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[3].i_p2_pop_slice/popcount_q_o_reg[4]/D","P2 popcount capture","FDCE=1;LUT3=1;LUT6=5;RAMB36E1=1"
13,-1.631,5.000,6.629,2.755,3.874,0.584,6,"i_vrf/gen_vrf_bram[0].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[3]/D","P2 popcount capture","FDCE=1;LUT3=1;LUT5=3;LUT6=2;RAMB36E1=1"
14,-1.631,5.000,6.629,2.755,3.874,0.584,6,"i_vrf/gen_vrf_bram[1].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[3]/D","P2 popcount capture","FDCE=1;LUT3=1;LUT5=3;LUT6=2;RAMB36E1=1"
15,-1.631,5.000,6.629,2.755,3.874,0.584,6,"i_vrf/gen_vrf_bram[2].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[2].i_p2_pop_slice/popcount_q_o_reg[3]/D","P2 popcount capture","FDCE=1;LUT3=1;LUT5=3;LUT6=2;RAMB36E1=1"
16,-1.631,5.000,6.629,2.755,3.874,0.584,6,"i_vrf/gen_vrf_bram[3].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[3].i_p2_pop_slice/popcount_q_o_reg[3]/D","P2 popcount capture","FDCE=1;LUT3=1;LUT5=3;LUT6=2;RAMB36E1=1"
17,-1.165,5.000,6.163,2.650,3.513,0.570,5,"i_vrf/gen_vrf_bram[0].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[2]/D","P2 popcount capture","FDCE=1;LUT3=1;LUT5=2;LUT6=2;RAMB36E1=1"
18,-1.165,5.000,6.163,2.650,3.513,0.570,5,"i_vrf/gen_vrf_bram[1].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[1].i_p2_pop_slice/popcount_q_o_reg[2]/D","P2 popcount capture","FDCE=1;LUT3=1;LUT5=2;LUT6=2;RAMB36E1=1"
19,-1.165,5.000,6.163,2.650,3.513,0.570,5,"i_vrf/gen_vrf_bram[2].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[2].i_p2_pop_slice/popcount_q_o_reg[2]/D","P2 popcount capture","FDCE=1;LUT3=1;LUT5=2;LUT6=2;RAMB36E1=1"
20,-1.165,5.000,6.163,2.650,3.513,0.570,5,"i_vrf/gen_vrf_bram[3].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[3].i_p2_pop_slice/popcount_q_o_reg[2]/D","P2 popcount capture","FDCE=1;LUT3=1;LUT5=2;LUT6=2;RAMB36E1=1"
21,-1.150,5.000,6.148,2.650,3.498,0.569,5,"i_vrf/gen_vrf_bram[0].i_vrf_bank/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/CLKARDCLK","gen_lane[0].i_p2_pop_slice/popcount_q_o_reg[1]/D","P2 popcount capture","FDCE=1;LUT5=2;LUT6=3;RAMB36E1=1"
