rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.293,5.000,4.704,1.085,3.619,0.769,5,"st_q_reg[2]_rep__0/C","vrf_ra_q_reg[0][5]/D","VRF/read/writeback","FDCE=2;LUT5=2;LUT6=3"
2,0.293,5.000,4.704,1.085,3.619,0.769,5,"st_q_reg[2]_rep__0/C","vrf_ra_q_reg[1][5]/D","VRF/read/writeback","FDCE=2;LUT5=2;LUT6=3"
3,0.293,5.000,4.704,1.085,3.619,0.769,5,"st_q_reg[2]_rep__0/C","vrf_ra_q_reg[2][5]/D","VRF/read/writeback","FDCE=2;LUT5=2;LUT6=3"
4,0.293,5.000,4.704,1.085,3.619,0.769,5,"st_q_reg[2]_rep__0/C","vrf_ra_q_reg[3][5]/D","VRF/read/writeback","FDCE=2;LUT5=2;LUT6=3"
5,0.326,5.000,4.700,2.246,2.454,0.522,7,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[8]/D","P2 popcount capture","CARRY4=4;FDCE=2;LUT3=2;LUT5=1"
6,0.426,5.000,4.600,2.146,2.454,0.533,6,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[7]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1"
7,0.479,5.000,4.547,2.093,2.454,0.540,6,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[6]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1"
8,0.520,5.000,4.269,1.210,3.059,0.717,6,"a_q_reg[0]/C","ecc_dst_q_reg[0]/CE","TOP control","FDCE=2;LUT3=1;LUT6=5"
9,0.520,5.000,4.269,1.210,3.059,0.717,6,"a_q_reg[0]/C","ecc_dst_q_reg[1]/CE","TOP control","FDCE=2;LUT3=1;LUT6=5"
10,0.520,5.000,4.269,1.210,3.059,0.717,6,"a_q_reg[0]/C","ecc_dst_q_reg[2]/CE","TOP control","FDCE=2;LUT3=1;LUT6=5"
11,0.520,5.000,4.269,1.210,3.059,0.717,6,"a_q_reg[0]/C","ecc_dst_q_reg[3]/CE","TOP control","FDCE=2;LUT3=1;LUT6=5"
