rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.147,5.000,4.850,2.018,2.832,0.584,9,"hperm_word_off_q_reg[2]/C","uop_p0_q_reg[src1_addr][5]/D","TOP control","CARRY4=2;FDCE=2;LUT4=1;LUT6=6"
2,0.177,5.000,4.820,1.734,3.086,0.640,8,"hperm_word_off_q_reg[2]/C","uop_p0_q_reg[src1_addr][3]/D","TOP control","CARRY4=1;FDCE=2;LUT6=7"
3,0.326,5.000,4.700,2.246,2.454,0.522,7,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[8]/D","P2 popcount capture","CARRY4=4;FDCE=2;LUT3=2;LUT5=1"
4,0.424,5.000,4.573,1.882,2.691,0.588,7,"a_q_reg[8]/C","st_q_reg[2]/D","TOP control","CARRY4=2;FDCE=2;LUT4=1;LUT6=4"
5,0.424,5.000,4.573,1.882,2.691,0.588,7,"a_q_reg[8]/C","st_q_reg[2]_rep/D","TOP control","CARRY4=2;FDCE=2;LUT4=1;LUT6=4"
6,0.424,5.000,4.573,1.882,2.691,0.588,7,"a_q_reg[8]/C","st_q_reg[2]_rep__0/D","TOP control","CARRY4=2;FDCE=2;LUT4=1;LUT6=4"
7,0.424,5.000,4.573,1.882,2.691,0.588,7,"a_q_reg[8]/C","st_q_reg[2]_rep__1/D","TOP control","CARRY4=2;FDCE=2;LUT4=1;LUT6=4"
8,0.426,5.000,4.600,2.146,2.454,0.533,6,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[7]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1"
9,0.430,5.000,4.567,1.882,2.685,0.588,7,"a_q_reg[8]/C","st_q_reg[3]/D","TOP control","CARRY4=2;FDCE=2;LUT4=1;LUT6=4"
10,0.430,5.000,4.567,1.882,2.685,0.588,7,"a_q_reg[8]/C","st_q_reg[3]_rep/D","TOP control","CARRY4=2;FDCE=2;LUT4=1;LUT6=4"
11,0.430,5.000,4.567,1.882,2.685,0.588,7,"a_q_reg[8]/C","st_q_reg[3]_rep__0/D","TOP control","CARRY4=2;FDCE=2;LUT4=1;LUT6=4"
12,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][0]/CE","TOP control","FDCE=2;LUT6=5"
13,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][10]/CE","TOP control","FDCE=2;LUT6=5"
14,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][11]/CE","TOP control","FDCE=2;LUT6=5"
15,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][12]/CE","TOP control","FDCE=2;LUT6=5"
16,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][13]/CE","TOP control","FDCE=2;LUT6=5"
17,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][14]/CE","TOP control","FDCE=2;LUT6=5"
18,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][15]/CE","TOP control","FDCE=2;LUT6=5"
19,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][16]/CE","TOP control","FDCE=2;LUT6=5"
20,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][17]/CE","TOP control","FDCE=2;LUT6=5"
21,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][18]/CE","TOP control","FDCE=2;LUT6=5"
22,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][19]/CE","TOP control","FDCE=2;LUT6=5"
23,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][1]/CE","TOP control","FDCE=2;LUT6=5"
24,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][20]/CE","TOP control","FDCE=2;LUT6=5"
25,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][21]/CE","TOP control","FDCE=2;LUT6=5"
26,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][22]/CE","TOP control","FDCE=2;LUT6=5"
27,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][23]/CE","TOP control","FDCE=2;LUT6=5"
28,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][24]/CE","TOP control","FDCE=2;LUT6=5"
29,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][25]/CE","TOP control","FDCE=2;LUT6=5"
30,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][26]/CE","TOP control","FDCE=2;LUT6=5"
31,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][27]/CE","TOP control","FDCE=2;LUT6=5"
32,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][28]/CE","TOP control","FDCE=2;LUT6=5"
33,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][29]/CE","TOP control","FDCE=2;LUT6=5"
34,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][2]/CE","TOP control","FDCE=2;LUT6=5"
35,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][30]/CE","TOP control","FDCE=2;LUT6=5"
36,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][31]/CE","TOP control","FDCE=2;LUT6=5"
37,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][32]/CE","TOP control","FDCE=2;LUT6=5"
38,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][33]/CE","TOP control","FDCE=2;LUT6=5"
39,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][34]/CE","TOP control","FDCE=2;LUT6=5"
40,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][35]/CE","TOP control","FDCE=2;LUT6=5"
41,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][36]/CE","TOP control","FDCE=2;LUT6=5"
42,0.436,5.000,4.353,1.085,3.268,0.751,5,"st_q_reg[1]/C","hdc_src0_q_reg[0][37]/CE","TOP control","FDCE=2;LUT6=5"
