rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.331,5.000,4.695,2.246,2.449,0.522,7,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[8]/D","P2 popcount capture","CARRY4=4;FDCE=2;LUT3=2;LUT5=1"
2,0.405,5.000,4.384,1.085,3.299,0.753,5,"ecc_pmul_step_q_reg[4]/C","ecc_src_a_q_reg[0]/CE","other","FDCE=2;LUT5=1;LUT6=4"
3,0.405,5.000,4.384,1.085,3.299,0.753,5,"ecc_pmul_step_q_reg[4]/C","ecc_src_a_q_reg[1]/CE","other","FDCE=2;LUT5=1;LUT6=4"
4,0.405,5.000,4.384,1.085,3.299,0.753,5,"ecc_pmul_step_q_reg[4]/C","ecc_src_a_q_reg[2]/CE","other","FDCE=2;LUT5=1;LUT6=4"
5,0.405,5.000,4.384,1.085,3.299,0.753,5,"ecc_pmul_step_q_reg[4]/C","ecc_src_a_q_reg[3]/CE","other","FDCE=2;LUT5=1;LUT6=4"
6,0.405,5.000,4.384,1.085,3.299,0.753,5,"ecc_pmul_step_q_reg[4]/C","ecc_src_a_q_reg[4]/CE","other","FDCE=2;LUT5=1;LUT6=4"
7,0.405,5.000,4.384,1.085,3.299,0.753,5,"ecc_pmul_step_q_reg[4]/C","ecc_src_a_q_reg[5]/CE","other","FDCE=2;LUT5=1;LUT6=4"
8,0.426,5.000,4.363,1.085,3.278,0.751,5,"a_q_reg[15]/C","hperm_dst_base_q_reg[0]/CE","other","FDCE=2;LUT2=1;LUT6=4"
9,0.426,5.000,4.363,1.085,3.278,0.751,5,"a_q_reg[15]/C","hperm_dst_base_q_reg[1]/CE","other","FDCE=2;LUT2=1;LUT6=4"
10,0.426,5.000,4.363,1.085,3.278,0.751,5,"a_q_reg[15]/C","hperm_dst_base_q_reg[2]/CE","other","FDCE=2;LUT2=1;LUT6=4"
11,0.426,5.000,4.363,1.085,3.278,0.751,5,"a_q_reg[15]/C","hperm_dst_base_q_reg[3]/CE","other","FDCE=2;LUT2=1;LUT6=4"
12,0.426,5.000,4.363,1.085,3.278,0.751,5,"a_q_reg[15]/C","hperm_dst_base_q_reg[4]/CE","other","FDCE=2;LUT2=1;LUT6=4"
13,0.426,5.000,4.363,1.085,3.278,0.751,5,"a_q_reg[15]/C","hperm_dst_base_q_reg[5]/CE","other","FDCE=2;LUT2=1;LUT6=4"
14,0.431,5.000,4.595,2.146,2.449,0.533,6,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[7]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1"
15,0.448,5.000,4.341,1.210,3.131,0.721,6,"a_q_reg[13]/C","ecc_dst_q_reg[0]/CE","TOP control","FDCE=2;LUT2=1;LUT3=1;LUT4=1;LUT6=3"
16,0.448,5.000,4.341,1.210,3.131,0.721,6,"a_q_reg[13]/C","ecc_dst_q_reg[1]/CE","TOP control","FDCE=2;LUT2=1;LUT3=1;LUT4=1;LUT6=3"
17,0.448,5.000,4.341,1.210,3.131,0.721,6,"a_q_reg[13]/C","ecc_dst_q_reg[2]/CE","TOP control","FDCE=2;LUT2=1;LUT3=1;LUT4=1;LUT6=3"
18,0.448,5.000,4.341,1.210,3.131,0.721,6,"a_q_reg[13]/C","ecc_dst_q_reg[3]/CE","TOP control","FDCE=2;LUT2=1;LUT3=1;LUT4=1;LUT6=3"
19,0.448,5.000,4.341,1.210,3.131,0.721,6,"a_q_reg[13]/C","ecc_dst_q_reg[4]/CE","TOP control","FDCE=2;LUT2=1;LUT3=1;LUT4=1;LUT6=3"
20,0.448,5.000,4.341,1.210,3.131,0.721,6,"a_q_reg[13]/C","ecc_dst_q_reg[5]/CE","TOP control","FDCE=2;LUT2=1;LUT3=1;LUT4=1;LUT6=3"
21,0.452,5.000,4.545,1.085,3.460,0.761,5,"a_q_reg[15]/C","st_q_reg[2]/D","TOP control","FDCE=2;LUT3=1;LUT6=4"
22,0.472,5.000,4.317,1.210,3.107,0.720,6,"a_q_reg[13]/C","ecc_acc_dst_q_reg[0]/CE","TOP control","FDCE=2;LUT2=1;LUT3=1;LUT4=1;LUT5=1;LUT6=2"
23,0.472,5.000,4.317,1.210,3.107,0.720,6,"a_q_reg[13]/C","ecc_acc_dst_q_reg[1]/CE","TOP control","FDCE=2;LUT2=1;LUT3=1;LUT4=1;LUT5=1;LUT6=2"
24,0.472,5.000,4.317,1.210,3.107,0.720,6,"a_q_reg[13]/C","ecc_acc_dst_q_reg[2]/CE","TOP control","FDCE=2;LUT2=1;LUT3=1;LUT4=1;LUT5=1;LUT6=2"
25,0.472,5.000,4.317,1.210,3.107,0.720,6,"a_q_reg[13]/C","ecc_acc_dst_q_reg[3]/CE","TOP control","FDCE=2;LUT2=1;LUT3=1;LUT4=1;LUT5=1;LUT6=2"
26,0.472,5.000,4.317,1.210,3.107,0.720,6,"a_q_reg[13]/C","ecc_acc_dst_q_reg[4]/CE","TOP control","FDCE=2;LUT2=1;LUT3=1;LUT4=1;LUT5=1;LUT6=2"
27,0.472,5.000,4.317,1.210,3.107,0.720,6,"a_q_reg[13]/C","ecc_acc_dst_q_reg[5]/CE","TOP control","FDCE=2;LUT2=1;LUT3=1;LUT4=1;LUT5=1;LUT6=2"
28,0.472,5.000,4.317,1.210,3.107,0.720,6,"a_q_reg[13]/C","ecc_src_b_q_reg[0]/CE","other","FDCE=2;LUT2=1;LUT4=2;LUT5=1;LUT6=2"
29,0.472,5.000,4.317,1.210,3.107,0.720,6,"a_q_reg[13]/C","ecc_src_b_q_reg[1]/CE","other","FDCE=2;LUT2=1;LUT4=2;LUT5=1;LUT6=2"
30,0.472,5.000,4.317,1.210,3.107,0.720,6,"a_q_reg[13]/C","ecc_src_b_q_reg[2]/CE","other","FDCE=2;LUT2=1;LUT4=2;LUT5=1;LUT6=2"
31,0.472,5.000,4.317,1.210,3.107,0.720,6,"a_q_reg[13]/C","ecc_src_b_q_reg[3]/CE","other","FDCE=2;LUT2=1;LUT4=2;LUT5=1;LUT6=2"
32,0.472,5.000,4.317,1.210,3.107,0.720,6,"a_q_reg[13]/C","ecc_src_b_q_reg[4]/CE","other","FDCE=2;LUT2=1;LUT4=2;LUT5=1;LUT6=2"
33,0.472,5.000,4.317,1.210,3.107,0.720,6,"a_q_reg[13]/C","ecc_src_b_q_reg[5]/CE","other","FDCE=2;LUT2=1;LUT4=2;LUT5=1;LUT6=2"
34,0.484,5.000,4.542,2.093,2.449,0.539,6,"gen_lane[0].i_p2_pop_slice/popcount_part_q_o_reg[0][0]/C","group_dist_q_reg[6]/D","P2 popcount capture","CARRY4=3;FDCE=2;LUT3=2;LUT5=1"
35,0.491,5.000,4.298,1.190,3.108,0.723,6,"a_q_reg[14]/C","ecc_job_dst_q_reg[0]/CE","TOP control","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
36,0.491,5.000,4.298,1.190,3.108,0.723,6,"a_q_reg[14]/C","ecc_job_dst_q_reg[1]/CE","TOP control","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
37,0.491,5.000,4.298,1.190,3.108,0.723,6,"a_q_reg[14]/C","ecc_job_dst_q_reg[2]/CE","TOP control","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
38,0.491,5.000,4.298,1.190,3.108,0.723,6,"a_q_reg[14]/C","ecc_job_dst_q_reg[3]/CE","TOP control","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
39,0.491,5.000,4.298,1.190,3.108,0.723,6,"a_q_reg[14]/C","ecc_job_dst_q_reg[4]/CE","TOP control","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
40,0.491,5.000,4.298,1.190,3.108,0.723,6,"a_q_reg[14]/C","ecc_job_dst_q_reg[5]/CE","TOP control","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
41,0.491,5.000,4.298,1.190,3.108,0.723,6,"a_q_reg[14]/C","ecc_job_src_q_reg[0]/CE","other","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
42,0.491,5.000,4.298,1.190,3.108,0.723,6,"a_q_reg[14]/C","ecc_job_src_q_reg[1]/CE","other","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
43,0.491,5.000,4.298,1.190,3.108,0.723,6,"a_q_reg[14]/C","ecc_job_src_q_reg[2]/CE","other","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
44,0.491,5.000,4.298,1.190,3.108,0.723,6,"a_q_reg[14]/C","ecc_job_src_q_reg[3]/CE","other","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
45,0.491,5.000,4.298,1.190,3.108,0.723,6,"a_q_reg[14]/C","ecc_job_src_q_reg[4]/CE","other","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
46,0.491,5.000,4.298,1.190,3.108,0.723,6,"a_q_reg[14]/C","ecc_job_src_q_reg[5]/CE","other","FDCE=2;LUT3=1;LUT4=1;LUT6=4"
47,0.516,5.000,4.273,1.190,3.083,0.722,6,"a_q_reg[14]/C","ecc_inv_step_q_reg[0]/CE","other","FDCE=2;LUT3=2;LUT5=1;LUT6=3"
48,0.516,5.000,4.273,1.190,3.083,0.722,6,"a_q_reg[14]/C","ecc_inv_step_q_reg[1]/CE","other","FDCE=2;LUT3=2;LUT5=1;LUT6=3"
