rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.096,5.000,4.693,1.190,3.503,0.746,6,"ecc_pmul_step_q_reg[3]/C","ecc_pmul_bit_q_reg[0]/CE","other","FDCE=2;LUT2=1;LUT3=2;LUT6=3"
2,0.096,5.000,4.693,1.190,3.503,0.746,6,"ecc_pmul_step_q_reg[3]/C","ecc_pmul_bit_q_reg[1]/CE","other","FDCE=2;LUT2=1;LUT3=2;LUT6=3"
3,0.096,5.000,4.693,1.190,3.503,0.746,6,"ecc_pmul_step_q_reg[3]/C","ecc_pmul_bit_q_reg[2]/CE","other","FDCE=2;LUT2=1;LUT3=2;LUT6=3"
4,0.096,5.000,4.693,1.190,3.503,0.746,6,"ecc_pmul_step_q_reg[3]/C","ecc_pmul_bit_q_reg[3]/CE","other","FDCE=2;LUT2=1;LUT3=2;LUT6=3"
5,0.096,5.000,4.693,1.190,3.503,0.746,6,"ecc_pmul_step_q_reg[3]/C","ecc_pmul_bit_q_reg[4]/CE","other","FDCE=2;LUT2=1;LUT3=2;LUT6=3"
6,0.096,5.000,4.693,1.190,3.503,0.746,6,"ecc_pmul_step_q_reg[3]/C","ecc_pmul_bit_q_reg[5]/CE","other","FDCE=2;LUT2=1;LUT3=2;LUT6=3"
7,0.096,5.000,4.693,1.190,3.503,0.746,6,"ecc_pmul_step_q_reg[3]/C","ecc_pmul_bit_q_reg[6]/CE","other","FDCE=2;LUT2=1;LUT3=2;LUT6=3"
8,0.096,5.000,4.693,1.190,3.503,0.746,6,"ecc_pmul_step_q_reg[3]/C","ecc_pmul_bit_q_reg[7]/CE","other","FDCE=2;LUT2=1;LUT3=2;LUT6=3"
9,0.106,5.000,4.683,1.190,3.493,0.746,6,"ecc_pmul_step_q_reg[3]/C","ecc_pmul_ctrl_q_reg[0]/CE","other","FDCE=2;LUT2=1;LUT3=2;LUT6=3"
10,0.106,5.000,4.683,1.190,3.493,0.746,6,"ecc_pmul_step_q_reg[3]/C","ecc_pmul_ctrl_q_reg[1]/CE","other","FDCE=2;LUT2=1;LUT3=2;LUT6=3"
11,0.106,5.000,4.683,1.190,3.493,0.746,6,"ecc_pmul_step_q_reg[3]/C","ecc_pmul_subop_q_reg[0]/CE","other","FDCE=2;LUT2=1;LUT3=2;LUT6=3"
12,0.106,5.000,4.683,1.190,3.493,0.746,6,"ecc_pmul_step_q_reg[3]/C","ecc_pmul_subop_q_reg[1]/CE","other","FDCE=2;LUT2=1;LUT3=2;LUT6=3"
13,0.106,5.000,4.683,1.190,3.493,0.746,6,"ecc_pmul_step_q_reg[3]/C","ecc_pmul_subop_q_reg[2]/CE","other","FDCE=2;LUT2=1;LUT3=2;LUT6=3"
14,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][14]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
15,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][15]/D","P2 lane result capture","FDCE=2;LUT5=2;LUT6=3"
16,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][16]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
17,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][17]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
18,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][18]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
19,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][19]/D","P2 lane result capture","FDCE=2;LUT5=2;LUT6=3"
20,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][20]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
21,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][21]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
22,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][22]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
23,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][23]/D","P2 lane result capture","FDCE=2;LUT5=2;LUT6=3"
24,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][24]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
25,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][25]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
26,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][26]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
27,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][27]/D","P2 lane result capture","FDCE=2;LUT5=2;LUT6=3"
28,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][28]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
29,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][29]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
30,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][30]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
31,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][31]/D","P2 lane result capture","FDCE=2;LUT5=2;LUT6=3"
32,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][32]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
33,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][33]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
34,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][34]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
35,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][35]/D","P2 lane result capture","FDCE=2;LUT5=2;LUT6=3"
36,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][36]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
37,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][37]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
38,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][38]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
39,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][39]/D","P2 lane result capture","FDCE=2;LUT5=2;LUT6=3"
40,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][40]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
41,0.250,5.000,4.747,1.085,3.662,0.771,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][41]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
