rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.159,5.000,4.630,1.190,3.440,0.743,6,"a_q_reg[2]/C","ecc_inv_step_q_reg[0]/CE","other","FDCE=2;LUT2=1;LUT3=1;LUT6=4"
2,0.159,5.000,4.630,1.190,3.440,0.743,6,"a_q_reg[2]/C","ecc_inv_step_q_reg[1]/CE","other","FDCE=2;LUT2=1;LUT3=1;LUT6=4"
3,0.159,5.000,4.630,1.190,3.440,0.743,6,"a_q_reg[2]/C","ecc_inv_step_q_reg[2]/CE","other","FDCE=2;LUT2=1;LUT3=1;LUT6=4"
4,0.159,5.000,4.630,1.190,3.440,0.743,6,"a_q_reg[2]/C","ecc_inv_step_q_reg[3]/CE","other","FDCE=2;LUT2=1;LUT3=1;LUT6=4"
5,0.170,5.000,4.619,1.190,3.429,0.742,6,"a_q_reg[2]/C","ecc_dst_q_reg[0]/CE","TOP control","FDCE=2;LUT2=1;LUT6=5"
6,0.170,5.000,4.619,1.190,3.429,0.742,6,"a_q_reg[2]/C","ecc_dst_q_reg[1]/CE","TOP control","FDCE=2;LUT2=1;LUT6=5"
7,0.170,5.000,4.619,1.190,3.429,0.742,6,"a_q_reg[2]/C","ecc_dst_q_reg[2]/CE","TOP control","FDCE=2;LUT2=1;LUT6=5"
8,0.170,5.000,4.619,1.190,3.429,0.742,6,"a_q_reg[2]/C","ecc_dst_q_reg[3]/CE","TOP control","FDCE=2;LUT2=1;LUT6=5"
9,0.170,5.000,4.619,1.190,3.429,0.742,6,"a_q_reg[2]/C","ecc_dst_q_reg[4]/CE","TOP control","FDCE=2;LUT2=1;LUT6=5"
10,0.170,5.000,4.619,1.190,3.429,0.742,6,"a_q_reg[2]/C","ecc_dst_q_reg[5]/CE","TOP control","FDCE=2;LUT2=1;LUT6=5"
11,0.243,5.000,4.786,1.286,3.500,0.731,6,"uop_p2_q_reg[valid]/C","lane_result_q_reg[0][27]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4;MUXF7=1"
