rank,net,fanout,driver,load_cells,load_lanes,cross_multiple_lanes
1,"clk_i",2484,"",2484,"0;1;2;3",1
2,"ecc_product_pair_reg_0_3_0_0/WCLK",2484,"",2484,"0;1;2;3",1
3,"ecc_product_pair_reg_0_3_100_100/WCLK",2484,"",2484,"0;1;2;3",1
4,"ecc_product_pair_reg_0_3_101_101/WCLK",2484,"",2484,"0;1;2;3",1
5,"ecc_product_pair_reg_0_3_102_102/WCLK",2484,"",2484,"0;1;2;3",1
6,"ecc_product_pair_reg_0_3_103_103/WCLK",2484,"",2484,"0;1;2;3",1
7,"ecc_product_pair_reg_0_3_104_104/WCLK",2484,"",2484,"0;1;2;3",1
8,"ecc_product_pair_reg_0_3_105_105/WCLK",2484,"",2484,"0;1;2;3",1
9,"ecc_product_pair_reg_0_3_106_106/WCLK",2484,"",2484,"0;1;2;3",1
10,"ecc_product_pair_reg_0_3_107_107/WCLK",2484,"",2484,"0;1;2;3",1
11,"ecc_product_pair_reg_0_3_108_108/WCLK",2484,"",2484,"0;1;2;3",1
12,"ecc_product_pair_reg_0_3_109_109/WCLK",2484,"",2484,"0;1;2;3",1
13,"ecc_product_pair_reg_0_3_10_10/WCLK",2484,"",2484,"0;1;2;3",1
14,"ecc_product_pair_reg_0_3_110_110/WCLK",2484,"",2484,"0;1;2;3",1
15,"ecc_product_pair_reg_0_3_111_111/WCLK",2484,"",2484,"0;1;2;3",1
16,"ecc_product_pair_reg_0_3_112_112/WCLK",2484,"",2484,"0;1;2;3",1
17,"ecc_product_pair_reg_0_3_113_113/WCLK",2484,"",2484,"0;1;2;3",1
18,"ecc_product_pair_reg_0_3_114_114/WCLK",2484,"",2484,"0;1;2;3",1
19,"ecc_product_pair_reg_0_3_115_115/WCLK",2484,"",2484,"0;1;2;3",1
20,"ecc_product_pair_reg_0_3_116_116/WCLK",2484,"",2484,"0;1;2;3",1
21,"ecc_product_pair_reg_0_3_117_117/WCLK",2484,"",2484,"0;1;2;3",1
22,"ecc_product_pair_reg_0_3_118_118/WCLK",2484,"",2484,"0;1;2;3",1
23,"ecc_product_pair_reg_0_3_119_119/WCLK",2484,"",2484,"0;1;2;3",1
24,"ecc_product_pair_reg_0_3_11_11/WCLK",2484,"",2484,"0;1;2;3",1
25,"ecc_product_pair_reg_0_3_120_120/WCLK",2484,"",2484,"0;1;2;3",1
26,"ecc_product_pair_reg_0_3_121_121/WCLK",2484,"",2484,"0;1;2;3",1
27,"ecc_product_pair_reg_0_3_122_122/WCLK",2484,"",2484,"0;1;2;3",1
28,"ecc_product_pair_reg_0_3_123_123/WCLK",2484,"",2484,"0;1;2;3",1
29,"ecc_product_pair_reg_0_3_124_124/WCLK",2484,"",2484,"0;1;2;3",1
30,"ecc_product_pair_reg_0_3_125_125/WCLK",2484,"",2484,"0;1;2;3",1
31,"ecc_product_pair_reg_0_3_126_126/WCLK",2484,"",2484,"0;1;2;3",1
32,"ecc_product_pair_reg_0_3_127_127/WCLK",2484,"",2484,"0;1;2;3",1
33,"ecc_product_pair_reg_0_3_12_12/WCLK",2484,"",2484,"0;1;2;3",1
34,"ecc_product_pair_reg_0_3_13_13/WCLK",2484,"",2484,"0;1;2;3",1
35,"ecc_product_pair_reg_0_3_14_14/WCLK",2484,"",2484,"0;1;2;3",1
36,"ecc_product_pair_reg_0_3_15_15/WCLK",2484,"",2484,"0;1;2;3",1
37,"ecc_product_pair_reg_0_3_16_16/WCLK",2484,"",2484,"0;1;2;3",1
38,"ecc_product_pair_reg_0_3_17_17/WCLK",2484,"",2484,"0;1;2;3",1
39,"ecc_product_pair_reg_0_3_18_18/WCLK",2484,"",2484,"0;1;2;3",1
40,"ecc_product_pair_reg_0_3_19_19/WCLK",2484,"",2484,"0;1;2;3",1
41,"ecc_product_pair_reg_0_3_1_1/WCLK",2484,"",2484,"0;1;2;3",1
42,"ecc_product_pair_reg_0_3_20_20/WCLK",2484,"",2484,"0;1;2;3",1
43,"ecc_product_pair_reg_0_3_21_21/WCLK",2484,"",2484,"0;1;2;3",1
44,"ecc_product_pair_reg_0_3_22_22/WCLK",2484,"",2484,"0;1;2;3",1
45,"ecc_product_pair_reg_0_3_23_23/WCLK",2484,"",2484,"0;1;2;3",1
46,"ecc_product_pair_reg_0_3_24_24/WCLK",2484,"",2484,"0;1;2;3",1
47,"ecc_product_pair_reg_0_3_25_25/WCLK",2484,"",2484,"0;1;2;3",1
48,"ecc_product_pair_reg_0_3_26_26/WCLK",2484,"",2484,"0;1;2;3",1
49,"ecc_product_pair_reg_0_3_27_27/WCLK",2484,"",2484,"0;1;2;3",1
50,"ecc_product_pair_reg_0_3_28_28/WCLK",2484,"",2484,"0;1;2;3",1
51,"ecc_product_pair_reg_0_3_29_29/WCLK",2484,"",2484,"0;1;2;3",1
52,"ecc_product_pair_reg_0_3_2_2/WCLK",2484,"",2484,"0;1;2;3",1
53,"ecc_product_pair_reg_0_3_30_30/WCLK",2484,"",2484,"0;1;2;3",1
54,"ecc_product_pair_reg_0_3_31_31/WCLK",2484,"",2484,"0;1;2;3",1
55,"ecc_product_pair_reg_0_3_32_32/WCLK",2484,"",2484,"0;1;2;3",1
56,"ecc_product_pair_reg_0_3_33_33/WCLK",2484,"",2484,"0;1;2;3",1
57,"ecc_product_pair_reg_0_3_34_34/WCLK",2484,"",2484,"0;1;2;3",1
58,"ecc_product_pair_reg_0_3_35_35/WCLK",2484,"",2484,"0;1;2;3",1
59,"ecc_product_pair_reg_0_3_36_36/WCLK",2484,"",2484,"0;1;2;3",1
60,"ecc_product_pair_reg_0_3_37_37/WCLK",2484,"",2484,"0;1;2;3",1
61,"ecc_product_pair_reg_0_3_38_38/WCLK",2484,"",2484,"0;1;2;3",1
