signal_or_pattern,presence,object_kind,max_fanout,objects,hierarchy,appears_in_top5,appears_in_targeted_paths,load_cells,load_lanes,cross_multiple_lanes,interpretation
"p1_pop_d",0,"cell/net",0,"","",0,0,0,"",0,"not found"
"p1_xor_d",0,"cell/net",0,"","",0,0,0,"",0,"not found"
"pop_q",1,"cell/net",48,"gen_lane[0].i_lane/pop_q_i_1;gen_lane[0].i_lane/pop_q_reg;gen_lane[0].i_lane/pop_q_reg_0[0];gen_lane[0].i_lane/pop_q_reg_0[1];gen_lane[0].i_lane/pop_q_reg_0[2];pop_q",".;gen_lane[0].i_lane",0,0,70,"0;1;2;3",1,"present; inspect fanout/cross-lane loads"
"xor_q",0,"cell/net",0,"","",0,0,0,"",0,"not found"
"hdec_p2_pop_slice",0,"cell/net",0,"","",0,0,0,"",0,"not found"
"i_p2_pop_slice",0,"cell/net",0,"","",0,0,0,"",0,"not found"
"lane_popcnt",1,"cell/net",4,"gen_lane[0].i_lane/lane_popcnt_part_q[0][1][2];gen_lane[0].i_lane/lane_popcnt_part_q[0][1][3];gen_lane[0].i_lane/lane_popcnt_part_q[0][1][4];gen_lane[2].i_lane/lane_popcnt_part_q[2][0][0];gen_lane[2].i_lane/lane_popcnt_part_q[2][0][1];gen_lane[2].i_lane/lane_popcnt_part_q[2][0][2];gen_lane[2].i_lane/lane_popcnt_part_q[2][0][3];gen_lane[2].i_lane/lane_popcnt_part_q[2][0][4];gen_lane[2].i_lane/lane_popcnt_part_q[2][0][5];gen_lane[2].i_lane/lane_popcnt_part_q[2][1][0];gen_lane[2].i_lane/lane_popcnt_part_q[2][1][1];gen_lane[2].i_lane/lane_popcnt_part_q[2][1][2];gen_lane[2].i_lane/lane_popcnt_part_q[2][1][3];gen_lane[2].i_lane/lane_popcnt_part_q[2][1][4];gen_lane[2].i_lane/lane_popcnt_part_q[2][1][5];gen_lane[3].i_lane/lane_popcnt_part_q[3][0][0];gen_lane[3].i_lane/lane_popcnt_part_q[3][0][1];gen_lane[3].i_lane/lane_popcnt_part_q[3][0][2];gen_lane[3].i_lane/lane_popcnt_part_q[3][0][3];gen_lane[3].i_lane/lane_popcnt_part_q[3][0][4];gen_lane[3].i_lane/lane_popcnt_part_q[3][0][5]",".;gen_lane[0].i_lane;gen_lane[2].i_lane;gen_lane[3].i_lane",0,0,134,"0;2;3",1,"present; inspect fanout/cross-lane loads"
"popcount",1,"cell/net",1753,"gen_lane[0].i_lane/popcount_part_q_o[0][0]_i_1;gen_lane[0].i_lane/popcount_part_q_o[0][0]_i_2;gen_lane[0].i_lane/popcount_part_q_o[0][0]_i_3;gen_lane[0].i_lane/popcount_part_q_o[0][0]_i_4;gen_lane[0].i_lane/popcount_part_q_o[0][1]_i_1;gen_lane[0].i_lane/popcount_part_q_o[0][2]_i_1;gen_lane[0].i_lane/popcount_part_q_o[0][2]_i_10;gen_lane[0].i_lane/popcount_part_q_o[0][2]_i_11;gen_lane[0].i_lane/popcount_part_q_o[0][2]_i_12;gen_lane[0].i_lane/popcount_part_q_o[0][2]_i_13;gen_lane[0].i_lane/popcount_part_q_o[0][2]_i_14;gen_lane[0].i_lane/popcount_part_q_o[0][2]_i_15;gen_lane[0].i_lane/popcount_part_q_o[0][2]_i_16;gen_lane[0].i_lane/popcount_part_q_o[0][2]_i_17;gen_lane[0].i_lane/popcount_part_q_o[0][2]_i_2;gen_lane[0].i_lane/popcount_part_q_o[0][2]_i_3;gen_lane[0].i_lane/popcount_part_q_o[0][2]_i_4;gen_lane[0].i_lane/popcount_part_q_o[0][2]_i_5;gen_lane[0].i_lane/popcount_part_q_o[0][2]_i_6;gen_lane[0].i_lane/popcount_part_q_o[0][2]_i_7;gen_lane[0].i_lane/popcount_part_q_o[0][2]_i_8","gen_lane[0].i_lane;gen_lane[1].i_lane;gen_lane[2].i_lane;gen_lane[3].i_lane",0,1,6298,"0;1;2;3",1,"present; inspect fanout/cross-lane loads"
"lane_bool",0,"cell/net",0,"","",0,0,0,"",0,"not found"
"lane_valid",0,"cell/net",0,"","",0,0,0,"",0,"not found"
"state_q",1,"cell/net",50,"FSM_onehot_ecc_load_bg_state_q[1]_i_1;FSM_onehot_ecc_load_bg_state_q[3]_i_1;FSM_onehot_ecc_load_bg_state_q[3]_i_2;FSM_onehot_ecc_load_bg_state_q[3]_i_3;FSM_onehot_ecc_load_bg_state_q[3]_i_5;FSM_onehot_ecc_load_bg_state_q_reg[0];FSM_onehot_ecc_load_bg_state_q_reg[1];FSM_onehot_ecc_load_bg_state_q_reg[2];FSM_onehot_ecc_load_bg_state_q_reg[3];ecc_diag_bg_state_q[0]_i_1;ecc_diag_bg_state_q[1]_i_1;ecc_diag_bg_state_q[1]_i_2;ecc_diag_bg_state_q[1]_i_3;ecc_diag_bg_state_q_reg[0];ecc_diag_bg_state_q_reg[1];i_vrf/FSM_onehot_ecc_load_bg_state_q[3]_i_4;FSM_onehot_ecc_load_bg_state_q[1]_i_1_n_0;FSM_onehot_ecc_load_bg_state_q[3]_i_1_n_0;FSM_onehot_ecc_load_bg_state_q[3]_i_2_n_0;FSM_onehot_ecc_load_bg_state_q[3]_i_3_n_0;FSM_onehot_ecc_load_bg_state_q[3]_i_5_n_0",".;i_vrf",0,1,249,"",0,"present; fanout appears limited"
"fsm",0,"cell/net",0,"","",0,0,0,"",0,"not found"
"hmatch",1,"cell/net",36,"hmatch_best_dist_q[0]_i_1;hmatch_best_dist_q[10]_i_1;hmatch_best_dist_q[10]_i_2;hmatch_best_dist_q[10]_i_3;hmatch_best_dist_q[10]_i_4;hmatch_best_dist_q[1]_i_1;hmatch_best_dist_q[2]_i_1;hmatch_best_dist_q[3]_i_1;hmatch_best_dist_q[4]_i_1;hmatch_best_dist_q[5]_i_1;hmatch_best_dist_q[6]_i_1;hmatch_best_dist_q[7]_i_1;hmatch_best_dist_q[8]_i_1;hmatch_best_dist_q[9]_i_1;hmatch_best_dist_q_reg[0];hmatch_best_dist_q_reg[10];hmatch_best_dist_q_reg[1];hmatch_best_dist_q_reg[2];hmatch_best_dist_q_reg[3];hmatch_best_dist_q_reg[4];hmatch_best_dist_q_reg[5]",".;i_vrf",0,0,465,"0;1;2;3",1,"present; inspect fanout/cross-lane loads"
