bucket,ref_name,cell_name
"ecc_exclusive_inv_pmul_schedule","LUT5","FSM_onehot_ecc_load_bg_state_q[1]_i_1"
"ecc_exclusive_inv_pmul_schedule","LUT5","FSM_onehot_ecc_load_bg_state_q[2]_i_1"
"ecc_exclusive_inv_pmul_schedule","LUT6","FSM_onehot_ecc_load_bg_state_q[4]_i_1"
"ecc_exclusive_inv_pmul_schedule","LUT6","FSM_onehot_ecc_load_bg_state_q[4]_i_2"
"ecc_exclusive_inv_pmul_schedule","LUT2","FSM_onehot_ecc_load_bg_state_q[4]_i_3"
"ecc_exclusive_inv_pmul_schedule","LUT6","FSM_onehot_ecc_load_bg_state_q[4]_i_4"
"ecc_exclusive_inv_pmul_schedule","FDPE","FSM_onehot_ecc_load_bg_state_q_reg[0]"
"ecc_exclusive_inv_pmul_schedule","FDCE","FSM_onehot_ecc_load_bg_state_q_reg[1]"
"ecc_exclusive_inv_pmul_schedule","FDCE","FSM_onehot_ecc_load_bg_state_q_reg[2]"
"ecc_exclusive_inv_pmul_schedule","FDCE","FSM_onehot_ecc_load_bg_state_q_reg[3]"
"ecc_exclusive_inv_pmul_schedule","FDCE","FSM_onehot_ecc_load_bg_state_q_reg[4]"
"unattributed_top_control","FDCE","a_q_reg[0]"
"unattributed_top_control","FDCE","a_q_reg[10]"
"unattributed_top_control","FDCE","a_q_reg[11]"
"unattributed_top_control","FDCE","a_q_reg[12]"
"unattributed_top_control","FDCE","a_q_reg[13]"
"unattributed_top_control","FDCE","a_q_reg[14]"
"unattributed_top_control","FDCE","a_q_reg[15]"
"unattributed_top_control","FDCE","a_q_reg[16]"
"unattributed_top_control","FDCE","a_q_reg[17]"
"unattributed_top_control","FDCE","a_q_reg[18]"
"unattributed_top_control","FDCE","a_q_reg[19]"
"unattributed_top_control","FDCE","a_q_reg[1]"
"unattributed_top_control","FDCE","a_q_reg[20]"
"unattributed_top_control","FDCE","a_q_reg[21]"
"unattributed_top_control","FDCE","a_q_reg[22]"
"unattributed_top_control","FDCE","a_q_reg[23]"
"unattributed_top_control","FDCE","a_q_reg[24]"
"unattributed_top_control","FDCE","a_q_reg[25]"
"unattributed_top_control","FDCE","a_q_reg[26]"
"unattributed_top_control","FDCE","a_q_reg[27]"
