rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.247,5.000,4.750,1.085,3.665,0.772,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][14]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
2,0.247,5.000,4.750,1.085,3.665,0.772,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][15]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
3,0.247,5.000,4.750,1.085,3.665,0.772,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][16]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
4,0.247,5.000,4.750,1.085,3.665,0.772,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][17]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
5,0.247,5.000,4.750,1.085,3.665,0.772,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][18]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
6,0.247,5.000,4.750,1.085,3.665,0.772,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][19]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
7,0.247,5.000,4.750,1.085,3.665,0.772,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][20]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
8,0.247,5.000,4.750,1.085,3.665,0.772,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][21]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
9,0.247,5.000,4.750,1.085,3.665,0.772,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][22]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
10,0.247,5.000,4.750,1.085,3.665,0.772,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][23]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
11,0.247,5.000,4.750,1.085,3.665,0.772,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][24]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
12,0.247,5.000,4.750,1.085,3.665,0.772,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][25]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
13,0.247,5.000,4.750,1.085,3.665,0.772,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][26]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
14,0.247,5.000,4.750,1.085,3.665,0.772,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][27]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
15,0.247,5.000,4.750,1.085,3.665,0.772,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][28]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
16,0.247,5.000,4.750,1.085,3.665,0.772,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][29]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
17,0.247,5.000,4.750,1.085,3.665,0.772,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][30]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
18,0.247,5.000,4.750,1.085,3.665,0.772,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][31]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
19,0.247,5.000,4.750,1.085,3.665,0.772,5,"p2_lane_compute_q_reg/C","lane_result_q_reg[0][32]/D","P2 lane result capture","FDCE=2;LUT5=1;LUT6=4"
