rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
1,0.048,5.000,4.949,1.190,3.759,0.760,6,"uop_p2_q_reg[op_type][1]/C","lane_result_q_reg[0][5]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT5=1;LUT6=3"
2,0.054,5.000,4.943,1.190,3.753,0.759,6,"uop_p2_q_reg[op_type][1]/C","lane_result_q_reg[0][6]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT5=1;LUT6=3"
3,0.054,5.000,4.943,1.190,3.753,0.759,6,"uop_p2_q_reg[op_type][1]/C","lane_result_q_reg[0][7]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT5=1;LUT6=3"
4,0.054,5.000,4.943,1.190,3.753,0.759,6,"uop_p2_q_reg[op_type][1]/C","lane_result_q_reg[3][61]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT5=2;LUT6=2"
5,0.054,5.000,4.943,1.190,3.753,0.759,6,"uop_p2_q_reg[op_type][1]/C","lane_result_q_reg[3][62]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT5=2;LUT6=2"
6,0.067,5.000,4.930,1.190,3.740,0.759,6,"uop_p2_q_reg[op_type][1]/C","lane_result_q_reg[0][4]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT5=1;LUT6=3"
7,0.072,5.000,4.925,1.190,3.735,0.758,6,"uop_p2_q_reg[op_type][1]/C","lane_result_q_reg[0][1]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT5=1;LUT6=3"
8,0.073,5.000,4.924,1.190,3.734,0.758,6,"uop_p2_q_reg[op_type][1]/C","lane_result_q_reg[3][60]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT5=2;LUT6=2"
9,0.091,5.000,4.906,1.190,3.716,0.757,6,"uop_p2_q_reg[op_type][1]/C","lane_result_q_reg[0][0]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT5=1;LUT6=3"
10,0.138,5.000,4.859,1.190,3.669,0.755,6,"uop_p2_q_reg[op_type][1]/C","lane_result_q_reg[0][3]/D","P2 lane result capture","FDCE=2;LUT3=2;LUT5=1;LUT6=3"
11,0.182,5.000,4.587,1.680,2.907,0.634,8,"ecc_pmul_step_q_reg[3]/C","st_q_reg[3]/D","TOP control","FDCE=2;LUT4=1;LUT5=1;LUT6=3;MUXF7=2;MUXF8=1"
12,0.182,5.000,4.587,1.680,2.907,0.634,8,"ecc_pmul_step_q_reg[3]/C","st_q_reg[3]_rep/D","TOP control","FDCE=2;LUT4=1;LUT5=1;LUT6=3;MUXF7=2;MUXF8=1"
13,0.182,5.000,4.587,1.680,2.907,0.634,8,"ecc_pmul_step_q_reg[3]/C","st_q_reg[3]_rep__0/D","TOP control","FDCE=2;LUT4=1;LUT5=1;LUT6=3;MUXF7=2;MUXF8=1"
14,0.182,5.000,4.587,1.680,2.907,0.634,8,"ecc_pmul_step_q_reg[3]/C","st_q_reg[3]_rep__1/D","TOP control","FDCE=2;LUT4=1;LUT5=1;LUT6=3;MUXF7=2;MUXF8=1"
15,0.182,5.000,4.587,1.680,2.907,0.634,8,"ecc_pmul_step_q_reg[3]/C","st_q_reg[3]_rep__2/D","TOP control","FDCE=2;LUT4=1;LUT5=1;LUT6=3;MUXF7=2;MUXF8=1"
16,0.182,5.000,4.587,1.680,2.907,0.634,8,"ecc_pmul_step_q_reg[3]/C","st_q_reg[3]_rep__3/D","TOP control","FDCE=2;LUT4=1;LUT5=1;LUT6=3;MUXF7=2;MUXF8=1"
17,0.182,5.000,4.587,1.680,2.907,0.634,8,"ecc_pmul_step_q_reg[3]/C","st_q_reg[3]_rep__4/D","TOP control","FDCE=2;LUT4=1;LUT5=1;LUT6=3;MUXF7=2;MUXF8=1"
18,0.182,5.000,4.587,1.680,2.907,0.634,8,"ecc_pmul_step_q_reg[3]/C","st_q_reg[3]_rep__5/D","TOP control","FDCE=2;LUT4=1;LUT5=1;LUT6=3;MUXF7=2;MUXF8=1"
19,0.182,5.000,4.587,1.680,2.907,0.634,8,"ecc_pmul_step_q_reg[3]/C","st_q_reg[3]_rep__6/D","TOP control","FDCE=2;LUT4=1;LUT5=1;LUT6=3;MUXF7=2;MUXF8=1"
20,0.182,5.000,4.587,1.680,2.907,0.634,8,"ecc_pmul_step_q_reg[3]/C","st_q_reg[3]_rep__7/D","TOP control","FDCE=2;LUT4=1;LUT5=1;LUT6=3;MUXF7=2;MUXF8=1"
21,0.182,5.000,4.587,1.680,2.907,0.634,8,"ecc_pmul_step_q_reg[3]/C","st_q_reg[3]_rep__8/D","TOP control","FDCE=2;LUT4=1;LUT5=1;LUT6=3;MUXF7=2;MUXF8=1"
22,0.196,5.000,4.573,1.680,2.893,0.633,8,"ecc_pmul_step_q_reg[3]/C","st_q_reg[1]/D","TOP control","FDCE=2;LUT4=1;LUT5=1;LUT6=3;MUXF7=2;MUXF8=1"
