trial,scenario,requested_mode,actual_mode,sequence,snapshot_valid,pass,fail,idle,busy,metric_active,phase,window_cycles,hmatch_completed,error_count,error_code,last_hmatch,final_status,preload_count,hmatch_completion_cycles,validation
1,INTERLEAVED,1,1,00000001,1,1,0,1,0,0,00,00030dd0,00000660,00000000,00000000,00000000000001f9,0000000000000048,00000070,00030db2,PASS
1,SERIAL,0,0,00000002,1,1,0,1,0,0,00,000527bd,00000660,00000000,00000000,00000000000001f9,0000000000000048,00000070,000527bd,PASS
1,CLOCKED_IDLE,2,2,00000003,1,1,0,1,0,0,00,001e8480,00000000,00000000,00000000,0000000000000000,0000000000000000,00000070,00000000,PASS
2,INTERLEAVED,1,1,00000004,1,1,0,1,0,0,00,00030dd0,00000660,00000000,00000000,00000000000001f9,0000000000000048,00000070,00030db2,PASS
2,SERIAL,0,0,00000005,1,1,0,1,0,0,00,000527bd,00000660,00000000,00000000,00000000000001f9,0000000000000048,00000070,000527bd,PASS
2,CLOCKED_IDLE,2,2,00000006,1,1,0,1,0,0,00,001e8480,00000000,00000000,00000000,0000000000000000,0000000000000000,00000070,00000000,PASS
3,INTERLEAVED,1,1,00000007,1,1,0,1,0,0,00,00030dd0,00000660,00000000,00000000,00000000000001f9,0000000000000048,00000070,00030db2,PASS
3,SERIAL,0,0,00000008,1,1,0,1,0,0,00,000527bd,00000660,00000000,00000000,00000000000001f9,0000000000000048,00000070,000527bd,PASS
3,CLOCKED_IDLE,2,2,00000009,1,1,0,1,0,0,00,001e8480,00000000,00000000,00000000,0000000000000000,0000000000000000,00000070,00000000,PASS
4,INTERLEAVED,1,1,0000000a,1,1,0,1,0,0,00,00030dd0,00000660,00000000,00000000,00000000000001f9,0000000000000048,00000070,00030db2,PASS
4,SERIAL,0,0,0000000b,1,1,0,1,0,0,00,000527bd,00000660,00000000,00000000,00000000000001f9,0000000000000048,00000070,000527bd,PASS
4,CLOCKED_IDLE,2,2,0000000c,1,1,0,1,0,0,00,001e8480,00000000,00000000,00000000,0000000000000000,0000000000000000,00000070,00000000,PASS
5,INTERLEAVED,1,1,0000000d,1,1,0,1,0,0,00,00030dd0,00000660,00000000,00000000,00000000000001f9,0000000000000048,00000070,00030db2,PASS
5,SERIAL,0,0,0000000e,1,1,0,1,0,0,00,000527bd,00000660,00000000,00000000,00000000000001f9,0000000000000048,00000070,000527bd,PASS
5,CLOCKED_IDLE,2,2,0000000f,1,1,0,1,0,0,00,001e8480,00000000,00000000,00000000,0000000000000000,0000000000000000,00000070,00000000,PASS
