claim_scope,physical_lut_key,loc,lut_letter,logical_lut_cell_count,ownership_set,physical_class,counted_ecc_private_lower_bound,logical_cell_names
"route_physical_ecc_private_lower_bound","SLICE_X40Y30/A","SLICE_X40Y30","A","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_24"
"route_physical_ecc_private_lower_bound","SLICE_X40Y30/B","SLICE_X40Y30","B","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_26"
"route_physical_ecc_private_lower_bound","SLICE_X40Y31/A","SLICE_X40Y31","A","2","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_23;i_vec/popcount_part_q[3][0][5]_i_25"
"route_physical_ecc_private_lower_bound","SLICE_X40Y31/B","SLICE_X40Y31","B","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_9"
"route_physical_ecc_private_lower_bound","SLICE_X40Y31/C","SLICE_X40Y31","C","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_7"
"route_physical_ecc_private_lower_bound","SLICE_X40Y31/D","SLICE_X40Y31","D","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_27"
"route_physical_ecc_private_lower_bound","SLICE_X40Y32/A","SLICE_X40Y32","A","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_20"
"route_physical_ecc_private_lower_bound","SLICE_X40Y32/B","SLICE_X40Y32","B","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_32"
"route_physical_ecc_private_lower_bound","SLICE_X40Y32/C","SLICE_X40Y32","C","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_34"
"route_physical_ecc_private_lower_bound","SLICE_X40Y32/D","SLICE_X40Y32","D","1","shared","shared_only","0","i_vec/ecc_leaf_prod_q[8]_i_3"
"route_physical_ecc_private_lower_bound","SLICE_X40Y33/A","SLICE_X40Y33","A","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][4]_i_8"
"route_physical_ecc_private_lower_bound","SLICE_X40Y34/A","SLICE_X40Y34","A","2","shared","shared_only","0","i_vec/popcount_part_q[3][1][4]_i_7;i_vec/popcount_part_q[3][1][4]_i_19"
"route_physical_ecc_private_lower_bound","SLICE_X40Y34/B","SLICE_X40Y34","B","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][4]_i_11"
"route_physical_ecc_private_lower_bound","SLICE_X40Y34/C","SLICE_X40Y34","C","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][4]_i_20"
"route_physical_ecc_private_lower_bound","SLICE_X40Y35/A","SLICE_X40Y35","A","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][4]_i_18"
"route_physical_ecc_private_lower_bound","SLICE_X40Y35/B","SLICE_X40Y35","B","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][4]_i_10"
"route_physical_ecc_private_lower_bound","SLICE_X40Y36/A","SLICE_X40Y36","A","2","shared","shared_only","0","i_vec/popcount_part_q[3][1][2]_i_4;i_vec/popcount_part_q[3][1][2]_i_6"
"route_physical_ecc_private_lower_bound","SLICE_X40Y36/B","SLICE_X40Y36","B","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][2]_i_2"
"route_physical_ecc_private_lower_bound","SLICE_X40Y36/C","SLICE_X40Y36","C","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][4]_i_2"
"route_physical_ecc_private_lower_bound","SLICE_X40Y36/D","SLICE_X40Y36","D","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][3]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X41Y16/A","SLICE_X41Y16","A","1","hdc_private","hdc_private_only","0","uop_p0_q[class_idx][1]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X41Y17/A","SLICE_X41Y17","A","2","hdc_private;unattributed","mixed_ownership","0","FSM_onehot_st_q[50]_i_3;uop_p0_q[is_last_class]_i_4"
"route_physical_ecc_private_lower_bound","SLICE_X41Y17/B","SLICE_X41Y17","B","1","hdc_private","hdc_private_only","0","uop_p0_q[is_last_class]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X41Y17/C","SLICE_X41Y17","C","1","hdc_private","hdc_private_only","0","uop_p0_q[is_last_class]_i_2"
"route_physical_ecc_private_lower_bound","SLICE_X41Y27/C","SLICE_X41Y27","C","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][2]_i_9"
"route_physical_ecc_private_lower_bound","SLICE_X41Y30/A","SLICE_X41Y30","A","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_6"
"route_physical_ecc_private_lower_bound","SLICE_X41Y30/B","SLICE_X41Y30","B","1","shared","shared_only","0","i_vec/ecc_leaf_prod_q[22]_i_3"
"route_physical_ecc_private_lower_bound","SLICE_X41Y31/A","SLICE_X41Y31","A","1","shared","shared_only","0","i_vec/ecc_leaf_prod_q[22]_i_2"
"route_physical_ecc_private_lower_bound","SLICE_X41Y31/C","SLICE_X41Y31","C","1","shared","shared_only","0","i_vec/popcount_part_q[0][1][5]_i_22"
"route_physical_ecc_private_lower_bound","SLICE_X41Y32/A","SLICE_X41Y32","A","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_17"
"route_physical_ecc_private_lower_bound","SLICE_X41Y32/B","SLICE_X41Y32","B","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_18"
"route_physical_ecc_private_lower_bound","SLICE_X41Y32/C","SLICE_X41Y32","C","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_33"
"route_physical_ecc_private_lower_bound","SLICE_X41Y32/D","SLICE_X41Y32","D","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_36"
"route_physical_ecc_private_lower_bound","SLICE_X41Y33/A","SLICE_X41Y33","A","2","shared","shared_only","0","i_vec/popcount_part_q[3][1][2]_i_8;i_vec/popcount_part_q[3][1][4]_i_15"
"route_physical_ecc_private_lower_bound","SLICE_X41Y33/B","SLICE_X41Y33","B","2","shared","shared_only","0","i_vec/popcount_part_q[3][1][4]_i_22;i_vec/popcount_part_q[3][1][4]_i_23"
"route_physical_ecc_private_lower_bound","SLICE_X41Y33/C","SLICE_X41Y33","C","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][4]_i_12"
"route_physical_ecc_private_lower_bound","SLICE_X41Y33/D","SLICE_X41Y33","D","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][5]_i_12"
"route_physical_ecc_private_lower_bound","SLICE_X41Y34/D","SLICE_X41Y34","D","2","shared","shared_only","0","i_vec/popcount_part_q[3][0][3]_i_1;i_vec/popcount_part_q[3][0][4]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X41Y35/A","SLICE_X41Y35","A","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][5]_i_2"
"route_physical_ecc_private_lower_bound","SLICE_X41Y35/B","SLICE_X41Y35","B","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][2]_i_6"
