claim_scope,ownership_bucket,ref_name,count
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","FDCE",247
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","FDPE",1
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","LUT2",36
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","LUT3",60
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","LUT4",118
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","LUT5",182
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","LUT6",225
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","MUXF7",35
"strict_name_based_ecc_private_lower_bound","ecc_private_strict","MUXF8",15
"strict_name_based_ecc_private_lower_bound","hdc_private","CARRY4",5
"strict_name_based_ecc_private_lower_bound","hdc_private","FDCE",210
"strict_name_based_ecc_private_lower_bound","hdc_private","LUT2",34
"strict_name_based_ecc_private_lower_bound","hdc_private","LUT3",116
"strict_name_based_ecc_private_lower_bound","hdc_private","LUT4",40
"strict_name_based_ecc_private_lower_bound","hdc_private","LUT5",95
"strict_name_based_ecc_private_lower_bound","hdc_private","LUT6",407
"strict_name_based_ecc_private_lower_bound","shared","CARRY4",7
"strict_name_based_ecc_private_lower_bound","shared","FDCE",734
"strict_name_based_ecc_private_lower_bound","shared","FDRE",256
"strict_name_based_ecc_private_lower_bound","shared","GND",2
"strict_name_based_ecc_private_lower_bound","shared","LUT1",2
"strict_name_based_ecc_private_lower_bound","shared","LUT2",127
"strict_name_based_ecc_private_lower_bound","shared","LUT3",167
"strict_name_based_ecc_private_lower_bound","shared","LUT4",364
"strict_name_based_ecc_private_lower_bound","shared","LUT5",1111
"strict_name_based_ecc_private_lower_bound","shared","LUT6",1890
"strict_name_based_ecc_private_lower_bound","shared","MUXF7",192
"strict_name_based_ecc_private_lower_bound","shared","RAMB36E1",4
"strict_name_based_ecc_private_lower_bound","shared","VCC",2
"strict_name_based_ecc_private_lower_bound","unattributed","FDCE",64
"strict_name_based_ecc_private_lower_bound","unattributed","FDPE",1
"strict_name_based_ecc_private_lower_bound","unattributed","GND",1
"strict_name_based_ecc_private_lower_bound","unattributed","LUT2",22
"strict_name_based_ecc_private_lower_bound","unattributed","LUT3",11
"strict_name_based_ecc_private_lower_bound","unattributed","LUT4",29
"strict_name_based_ecc_private_lower_bound","unattributed","LUT5",38
"strict_name_based_ecc_private_lower_bound","unattributed","LUT6",84
"strict_name_based_ecc_private_lower_bound","unattributed","VCC",1
