rank,net,fanout,driver_pin,driver_type,data_loads,ce_loads,reset_loads,clock_loads,lut_ram_loads,other_loads,main_load_cells
1,"clk_i",2886,"","",0,0,0,2886,0,0,"FDCE=2196;FDPE=2;RAMD64E=688"
2,"i_vrf_n_931",2198,"i_vrf/FSM_onehot_st_q[0]_i_3/O","LUT1",0,0,2198,0,0,0,"FDCE=2196;FDPE=2"
3,"i_vrf/<const1>",945,"i_vrf/VCC/P","VCC",688,257,0,0,0,0,"FDCE=257;RAMD64E=688"
4,"uop_p3_n",395,"FSM_onehot_st_q_reg[6]/Q","FDCE",0,70,0,0,325,0,"FDCE=70;LUT2=14;LUT3=1;LUT4=65;LUT5=231;LUT6=14"
5,"i_vrf/p_0_in[0]",287,"i_vrf/init_cnt_q_reg[6]/Q","FDCE",0,0,0,0,287,0,"LUT2=1;LUT3=4;LUT4=1;LUT5=24;LUT6=257"
6,"FSM_onehot_st_q_reg_n_0_[8]",282,"FSM_onehot_st_q_reg[8]/Q","FDCE",0,0,0,0,282,0,"LUT2=1;LUT3=2;LUT4=8;LUT5=1;LUT6=270"
7,"i_vrf/init_state_q[0]",282,"i_vrf/init_state_q_reg[0]/Q","FDCE",0,0,0,0,282,0,"LUT4=1;LUT5=24;LUT6=257"
8,"i_vrf/FSM_onehot_st_q_reg[6]_0[1]",271,"uop_p3_q_reg[subgroup_idx][1]/Q","FDCE",0,0,0,0,271,0,"LUT2=1;LUT3=2;LUT4=260;LUT5=4;LUT6=4"
9,"i_vrf/lane_result_q[3][63]_i_10_n_0",260,"i_vrf/lane_result_q[3][63]_i_10/O","LUT2",0,0,0,0,260,0,"LUT3=4;LUT5=64;LUT6=192"
10,"i_vrf/lane_result_q[3][63]_i_7_n_0",256,"i_vrf/lane_result_q[3][63]_i_7/O","LUT6",0,0,0,0,256,0,"LUT6=256"
11,"i_vrf/lane_result_q[3][63]_i_5_n_0",256,"i_vrf/lane_result_q[3][63]_i_5/O","LUT3",0,0,0,0,256,0,"LUT6=256"
12,"src0_n",256,"src0_q[3][63]_i_1/O","LUT4",0,256,0,0,0,0,"FDCE=256"
13,"hperm_a_n",256,"hperm_a_q[3][63]_i_1/O","LUT4",0,256,0,0,0,0,"FDCE=256"
