rank,path_class,startpoint,endpoint,slack_ns,data_delay_ns,logic_delay_ns,route_delay_ns,route_ratio_pct,logic_levels,main_cells,notes
1,"P3 HMATCH best compare/update","lane_popcnt_q_reg[3][2]/C","hmatch_best_idx_q_reg[0]/CE",-0.783,6.286,2.698,3.588,57.08,11,"CARRY4=4;FDCE=2;LUT2=1;LUT3=1;LUT4=1;LUT5=2;LUT6=2","CE endpoint"
2,"P3 HMATCH best compare/update","lane_popcnt_q_reg[3][2]/C","hmatch_best_idx_q_reg[1]/CE",-0.783,6.286,2.698,3.588,57.08,11,"CARRY4=4;FDCE=2;LUT2=1;LUT3=1;LUT4=1;LUT5=2;LUT6=2","CE endpoint"
3,"P3 HMATCH best compare/update","lane_popcnt_q_reg[3][2]/C","hmatch_best_idx_q_reg[2]/CE",-0.783,6.286,2.698,3.588,57.08,11,"CARRY4=4;FDCE=2;LUT2=1;LUT3=1;LUT4=1;LUT5=2;LUT6=2","CE endpoint"
4,"P3 HMATCH best compare/update","lane_popcnt_q_reg[3][2]/C","hmatch_best_idx_q_reg[3]/CE",-0.783,6.286,2.698,3.588,57.08,11,"CARRY4=4;FDCE=2;LUT2=1;LUT3=1;LUT4=1;LUT5=2;LUT6=2","CE endpoint"
5,"P3 HMATCH best compare/update","lane_popcnt_q_reg[3][2]/C","hmatch_best_idx_q_reg[4]/CE",-0.783,6.286,2.698,3.588,57.08,11,"CARRY4=4;FDCE=2;LUT2=1;LUT3=1;LUT4=1;LUT5=2;LUT6=2","CE endpoint"
6,"P3 HMATCH best compare/update","lane_popcnt_q_reg[3][2]/C","hmatch_best_idx_q_reg[5]/CE",-0.783,6.286,2.698,3.588,57.08,11,"CARRY4=4;FDCE=2;LUT2=1;LUT3=1;LUT4=1;LUT5=2;LUT6=2","CE endpoint"
7,"P3 HMATCH best compare/update","lane_popcnt_q_reg[3][2]/C","hmatch_best_idx_q_reg[6]/CE",-0.783,6.286,2.698,3.588,57.08,11,"CARRY4=4;FDCE=2;LUT2=1;LUT3=1;LUT4=1;LUT5=2;LUT6=2","CE endpoint"
8,"P3 HMATCH best compare/update","lane_popcnt_q_reg[3][2]/C","hmatch_best_idx_q_reg[7]/CE",-0.783,6.286,2.698,3.588,57.08,11,"CARRY4=4;FDCE=2;LUT2=1;LUT3=1;LUT4=1;LUT5=2;LUT6=2","CE endpoint"
9,"P2 lane capture","uop_p2_q_reg[use_xor]/C","lane_popcnt_q_reg[3][4]/D",-0.721,6.432,1.315,5.117,79.56,7,"FDCE=2;LUT4=1;LUT5=2;LUT6=4","D endpoint"
10,"P2 lane capture","uop_p2_q_reg[use_xor]/C","lane_popcnt_q_reg[3][5]/D",-0.721,6.432,1.315,5.117,79.56,7,"FDCE=2;LUT4=1;LUT5=1;LUT6=5","D endpoint"
11,"P2 lane capture","uop_p2_q_reg[use_xor]/C","lane_popcnt_q_reg[3][6]/D",-0.721,6.432,1.315,5.117,79.56,7,"FDCE=2;LUT4=1;LUT5=1;LUT6=5","D endpoint"
12,"P2 lane capture","uop_p2_q_reg[use_xor]_rep__1/C","lane_popcnt_q_reg[0][4]/D",-0.720,6.431,1.315,5.116,79.55,7,"FDCE=2;LUT4=1;LUT5=2;LUT6=4","D endpoint"
13,"P2 lane capture","uop_p2_q_reg[use_xor]_rep__1/C","lane_popcnt_q_reg[0][5]/D",-0.720,6.431,1.315,5.116,79.55,7,"FDCE=2;LUT4=1;LUT5=1;LUT6=5","D endpoint"
14,"P2 lane capture","uop_p2_q_reg[use_xor]_rep__1/C","lane_popcnt_q_reg[0][6]/D",-0.720,6.431,1.315,5.116,79.55,7,"FDCE=2;LUT4=1;LUT5=1;LUT6=5","D endpoint"
15,"P2 lane capture","uop_p2_q_reg[use_xor]_rep__0/C","lane_popcnt_q_reg[1][4]/D",-0.720,6.431,1.315,5.116,79.55,7,"FDCE=2;LUT4=1;LUT5=2;LUT6=4","D endpoint"
16,"P2 lane capture","uop_p2_q_reg[use_xor]_rep__0/C","lane_popcnt_q_reg[1][5]/D",-0.720,6.431,1.315,5.116,79.55,7,"FDCE=2;LUT4=1;LUT5=1;LUT6=5","D endpoint"
17,"P2 lane capture","uop_p2_q_reg[use_xor]_rep__0/C","lane_popcnt_q_reg[1][6]/D",-0.720,6.431,1.315,5.116,79.55,7,"FDCE=2;LUT4=1;LUT5=1;LUT6=5","D endpoint"
