group,from_cells,from_pins,to_cells,to_pins,report
"01_fsm_decode_to_uop_p1",431,494,68,136,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/01_fsm_decode_to_uop_p1.rpt"
"02_p1_vrf_capture_to_p2",5915,7358,75,150,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/02_p1_vrf_capture_to_p2.rpt"
"03a_p2_to_lane_result",5666,7109,256,512,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/03a_p2_to_lane_result.rpt"
"03b_p2_to_lane_popcnt",5410,6853,28,56,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/03b_p2_to_lane_popcnt.rpt"
"03c_p2_to_lane_clip",5410,6853,64,128,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/03c_p2_to_lane_clip.rpt"
"04a_lane_popcnt_to_hsim_total",28,28,11,22,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/04a_lane_popcnt_to_hsim_total.rpt"
"04b_hsim_total_to_hsim_total",11,11,11,22,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/04b_hsim_total_to_hsim_total.rpt"
"04c_hsim_total_to_hmatch_best",11,11,25,38,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/04c_hsim_total_to_hmatch_best.rpt"
"04d_lane_popcnt_to_hmatch_best",28,28,25,38,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/04d_lane_popcnt_to_hmatch_best.rpt"
"05a_hmatch_best_dist_D",56,98,17,11,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/05a_hmatch_best_dist_D.rpt"
"05b_hmatch_best_dist_CE",56,98,17,11,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/05b_hmatch_best_dist_CE.rpt"
"05c_hmatch_best_idx_D",0,0,8,8,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/05c_hmatch_best_idx_D.rpt"
"05d_hmatch_best_idx_CE",64,106,8,8,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/05d_hmatch_best_idx_CE.rpt"
"05e_hmatch_budget_to_best_CE",15,36,25,19,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/05e_hmatch_budget_to_best_CE.rpt"
"05f_hmatch_budget_feedback",15,36,15,24,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/05f_hmatch_budget_feedback.rpt"
"06_vrf_writeback",974,974,5079,39981,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/06_vrf_writeback.rpt"
"06b_vrf_ram_write",974,974,1507,20538,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/06b_vrf_ram_write.rpt"
"07_scalar_response",5118,6603,83,166,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/07_scalar_response.rpt"
"08_fast_path_to_result_or_vrf",5425,6868,5162,40313,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/08_fast_path_to_result_or_vrf.rpt"
"09_control_CE_top50",0,0,3717,2198,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/09_control_CE_top50.rpt"
"10_reset_clear_enable_heavy",332,395,3717,8572,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/groups/10_reset_clear_enable_heavy.rpt"
"fixed_01_p2_control_to_lane_popcnt",13,13,28,56,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/fixed_paths/fixed_01_p2_control_to_lane_popcnt.rpt"
"fixed_02_p2_control_to_lane_result",13,13,256,512,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/fixed_paths/fixed_02_p2_control_to_lane_result.rpt"
"fixed_03_p2_control_to_lane_clip",13,13,64,128,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/fixed_paths/fixed_03_p2_control_to_lane_clip.rpt"
"fixed_04_hsim_to_hmatch_CE",11,11,17,11,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/fixed_paths/fixed_04_hsim_to_hmatch_CE.rpt"
"fixed_05_hsim_to_hmatch_D",11,11,17,11,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/fixed_paths/fixed_05_hsim_to_hmatch_D.rpt"
"fixed_06_lane_popcnt_to_hsim",28,28,11,22,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/fixed_paths/fixed_06_lane_popcnt_to_hsim.rpt"
"fixed_07_lane_popcnt_to_hmatch",28,28,25,38,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/fixed_paths/fixed_07_lane_popcnt_to_hmatch.rpt"
"fixed_08_hmatch_to_response",25,67,83,166,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/fixed_paths/fixed_08_hmatch_to_response.rpt"
"fixed_09_vrf_writeback_mux_control",689,752,5079,39981,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/fixed_paths/fixed_09_vrf_writeback_mux_control.rpt"
"fixed_10_vrf_ram_write",1009,1072,1507,20538,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_hmatch_countdown_v1_ff838841/200mhz/fixed_paths/fixed_10_vrf_ram_write.rpt"
