rank,net,fanout,driver_pin,driver_type,data_loads,ce_loads,reset_loads,clock_loads,lut_ram_loads,other_loads,main_load_cells
1,"clk_i",2876,"","",0,0,0,2876,0,0,"FDCE=2187;FDPE=1;RAMD64E=688"
2,"i_vrf_n_934",2188,"i_vrf/FSM_onehot_st_q[0]_i_3/O","LUT1",0,0,2188,0,0,0,"FDCE=2187;FDPE=1"
3,"i_vrf/<const1>",945,"i_vrf/VCC/P","VCC",688,257,0,0,0,0,"FDCE=257;RAMD64E=688"
4,"i_vrf/lane_shift_valid[0]",509,"i_vrf/lane_result_q[3][63]_i_21/O","LUT2",0,0,0,0,509,0,"LUT2=1;LUT6=508"
5,"uop_p3_n",454,"FSM_onehot_st_q_reg[6]/Q","FDCE",0,74,0,0,380,0,"FDCE=74;LUT2=4;LUT3=4;LUT4=72;LUT5=226;LUT6=74"
6,"uop_p2_q_reg[use_xor]__0",290,"uop_p2_q_reg[use_xor]/Q","FDCE",1,0,0,0,289,0,"FDCE=1;LUT4=64;LUT5=224;LUT6=1"
7,"FSM_onehot_st_q_reg_n_0_[8]",288,"FSM_onehot_st_q_reg[8]/Q","FDCE",0,0,0,0,288,0,"LUT2=2;LUT3=3;LUT4=8;LUT5=6;LUT6=269"
8,"i_vrf/p_0_in[0]",287,"i_vrf/init_cnt_q_reg[6]/Q","FDCE",0,0,0,0,287,0,"LUT2=1;LUT3=4;LUT4=1;LUT5=24;LUT6=257"
9,"i_vrf/init_state_q[0]",282,"i_vrf/init_state_q_reg[0]/Q","FDCE",0,0,0,0,282,0,"LUT4=1;LUT5=24;LUT6=257"
10,"i_vrf/lane_result_q[3][63]_i_16_n_0",262,"i_vrf/lane_result_q[3][63]_i_16/O","LUT6",0,0,0,0,262,0,"LUT6=262"
11,"hperm_a_n",262,"i_vrf/hperm_a_q[3][63]_i_1/O","LUT4",0,256,0,0,6,0,"FDCE=256;LUT6=6"
12,"i_vrf_n_443",261,"i_vrf/src0_q[3][63]_i_1/O","LUT4",0,256,0,0,5,0,"FDCE=256;LUT5=1;LUT6=4"
13,"i_vrf_n_64",258,"i_vrf/lane_result_q[3][63]_i_7/O","LUT2",6,0,0,0,252,0,"LUT2=1;LUT5=218;LUT6=33;MUXF7=6"
14,"i_vrf_n_65",258,"i_vrf/lane_result_q[3][63]_i_9/O","LUT2",0,0,0,0,258,0,"LUT2=1;LUT5=224;LUT6=33"
