group,from_cells,from_pins,to_cells,to_pins,report
"01_fsm_decode_to_uop_p1",429,464,68,136,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/groups/01_fsm_decode_to_uop_p1.rpt"
"02_p1_vrf_capture_to_p2",5736,7182,71,142,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/groups/02_p1_vrf_capture_to_p2.rpt"
"03a_p2_to_lane_result",5483,6929,262,512,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/groups/03a_p2_to_lane_result.rpt"
"03b_p2_to_lane_popcnt",5227,6673,28,56,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/groups/03b_p2_to_lane_popcnt.rpt"
"03c_p2_to_lane_clip",5227,6673,64,128,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/groups/03c_p2_to_lane_clip.rpt"
"04a_lane_popcnt_to_hsim_total",28,28,17,22,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/groups/04a_lane_popcnt_to_hsim_total.rpt"
"04b_hsim_total_to_hsim_total",17,59,17,22,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/groups/04b_hsim_total_to_hsim_total.rpt"
"04c_hsim_total_to_hmatch_best",17,59,21,38,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/groups/04c_hsim_total_to_hmatch_best.rpt"
"04d_lane_popcnt_to_hmatch_best",28,28,21,38,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/groups/04d_lane_popcnt_to_hmatch_best.rpt"
"05a_hmatch_best_dist_D",58,114,13,11,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/groups/05a_hmatch_best_dist_D.rpt"
"05b_hmatch_best_dist_CE",58,114,13,11,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/groups/05b_hmatch_best_dist_CE.rpt"
"05c_hmatch_best_idx_D",0,0,8,8,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/groups/05c_hmatch_best_idx_D.rpt"
"05d_hmatch_best_idx_CE",66,122,8,8,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/groups/05d_hmatch_best_idx_CE.rpt"
"06_vrf_writeback",984,984,4900,39475,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/groups/06_vrf_writeback.rpt"
"06b_vrf_ram_write",984,984,1507,20521,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/groups/06b_vrf_ram_write.rpt"
"07_scalar_response",4941,6443,83,166,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/groups/07_scalar_response.rpt"
"08_fast_path_to_result_or_vrf",5246,6692,4983,39807,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/groups/08_fast_path_to_result_or_vrf.rpt"
"09_control_CE_top50",0,0,3712,2188,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/groups/09_control_CE_top50.rpt"
"10_reset_clear_enable_heavy",330,365,3712,8554,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/groups/10_reset_clear_enable_heavy.rpt"
"fixed_01_p2_control_to_lane_popcnt",9,9,28,56,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/fixed_paths/fixed_01_p2_control_to_lane_popcnt.rpt"
"fixed_02_p2_control_to_lane_result",9,9,262,512,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/fixed_paths/fixed_02_p2_control_to_lane_result.rpt"
"fixed_03_p2_control_to_lane_clip",9,9,64,128,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/fixed_paths/fixed_03_p2_control_to_lane_clip.rpt"
"fixed_04_hsim_to_hmatch_CE",17,59,13,11,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/fixed_paths/fixed_04_hsim_to_hmatch_CE.rpt"
"fixed_05_hsim_to_hmatch_D",17,59,13,11,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/fixed_paths/fixed_05_hsim_to_hmatch_D.rpt"
"fixed_06_lane_popcnt_to_hsim",28,28,17,22,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/fixed_paths/fixed_06_lane_popcnt_to_hsim.rpt"
"fixed_07_lane_popcnt_to_hmatch",28,28,21,38,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/fixed_paths/fixed_07_lane_popcnt_to_hmatch.rpt"
"fixed_08_hmatch_to_response",21,35,83,166,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/fixed_paths/fixed_08_hmatch_to_response.rpt"
"fixed_09_vrf_writeback_mux_control",697,732,4900,39475,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/fixed_paths/fixed_09_vrf_writeback_mux_control.rpt"
"fixed_10_vrf_ram_write",1017,1052,1507,20521,"E:/HDEC/cva6-vhdc-core/reports/vivado/ooc_hdec_timing_atlas_e0925738/150mhz/fixed_paths/fixed_10_vrf_ram_write.rpt"
