rank,path_class,startpoint,endpoint,slack_ns,data_delay_ns,logic_delay_ns,route_delay_ns,route_ratio_pct,logic_levels,main_cells,notes
1,"P3 HMATCH best compare/update","hsim_total_q_reg[0]/C","hmatch_best_dist_q_reg[0]/CE",-0.827,6.330,3.206,3.124,49.35,9,"CARRY4=5;FDCE=2;LUT3=2;LUT4=1;LUT6=1","CE endpoint"
2,"P3 HMATCH best compare/update","hsim_total_q_reg[0]/C","hmatch_best_dist_q_reg[10]/CE",-0.827,6.330,3.206,3.124,49.35,9,"CARRY4=5;FDCE=2;LUT3=2;LUT4=1;LUT6=1","CE endpoint"
3,"P3 HMATCH best compare/update","hsim_total_q_reg[0]/C","hmatch_best_dist_q_reg[1]/CE",-0.827,6.330,3.206,3.124,49.35,9,"CARRY4=5;FDCE=2;LUT3=2;LUT4=1;LUT6=1","CE endpoint"
4,"P3 HMATCH best compare/update","hsim_total_q_reg[0]/C","hmatch_best_dist_q_reg[2]/CE",-0.827,6.330,3.206,3.124,49.35,9,"CARRY4=5;FDCE=2;LUT3=2;LUT4=1;LUT6=1","CE endpoint"
5,"P3 HMATCH best compare/update","hsim_total_q_reg[0]/C","hmatch_best_dist_q_reg[3]/CE",-0.827,6.330,3.206,3.124,49.35,9,"CARRY4=5;FDCE=2;LUT3=2;LUT4=1;LUT6=1","CE endpoint"
6,"P3 HMATCH best compare/update","hsim_total_q_reg[0]/C","hmatch_best_dist_q_reg[4]/CE",-0.827,6.330,3.206,3.124,49.35,9,"CARRY4=5;FDCE=2;LUT3=2;LUT4=1;LUT6=1","CE endpoint"
7,"P3 HMATCH best compare/update","hsim_total_q_reg[0]/C","hmatch_best_dist_q_reg[5]/CE",-0.827,6.330,3.206,3.124,49.35,9,"CARRY4=5;FDCE=2;LUT3=2;LUT4=1;LUT6=1","CE endpoint"
8,"P3 HMATCH best compare/update","hsim_total_q_reg[0]/C","hmatch_best_dist_q_reg[6]/CE",-0.827,6.330,3.206,3.124,49.35,9,"CARRY4=5;FDCE=2;LUT3=2;LUT4=1;LUT6=1","CE endpoint"
9,"P3 HMATCH best compare/update","hsim_total_q_reg[0]/C","hmatch_best_dist_q_reg[7]/CE",-0.827,6.330,3.206,3.124,49.35,9,"CARRY4=5;FDCE=2;LUT3=2;LUT4=1;LUT6=1","CE endpoint"
10,"P3 HMATCH best compare/update","hsim_total_q_reg[0]/C","hmatch_best_dist_q_reg[8]/CE",-0.827,6.330,3.206,3.124,49.35,9,"CARRY4=5;FDCE=2;LUT3=2;LUT4=1;LUT6=1","CE endpoint"
11,"P3 HMATCH best compare/update","hsim_total_q_reg[0]/C","hmatch_best_dist_q_reg[9]/CE",-0.827,6.330,3.206,3.124,49.35,9,"CARRY4=5;FDCE=2;LUT3=2;LUT4=1;LUT6=1","CE endpoint"
12,"P3 HMATCH best compare/update","hsim_total_q_reg[0]/C","hmatch_best_idx_q_reg[0]/CE",-0.827,6.330,3.206,3.124,49.35,9,"CARRY4=5;FDCE=2;LUT3=2;LUT4=1;LUT6=1","CE endpoint"
13,"P3 HMATCH best compare/update","hsim_total_q_reg[0]/C","hmatch_best_idx_q_reg[1]/CE",-0.827,6.330,3.206,3.124,49.35,9,"CARRY4=5;FDCE=2;LUT3=2;LUT4=1;LUT6=1","CE endpoint"
14,"P3 HMATCH best compare/update","hsim_total_q_reg[0]/C","hmatch_best_idx_q_reg[2]/CE",-0.827,6.330,3.206,3.124,49.35,9,"CARRY4=5;FDCE=2;LUT3=2;LUT4=1;LUT6=1","CE endpoint"
15,"P3 HMATCH best compare/update","hsim_total_q_reg[0]/C","hmatch_best_idx_q_reg[3]/CE",-0.827,6.330,3.206,3.124,49.35,9,"CARRY4=5;FDCE=2;LUT3=2;LUT4=1;LUT6=1","CE endpoint"
16,"P3 HMATCH best compare/update","hsim_total_q_reg[0]/C","hmatch_best_idx_q_reg[4]/CE",-0.827,6.330,3.206,3.124,49.35,9,"CARRY4=5;FDCE=2;LUT3=2;LUT4=1;LUT6=1","CE endpoint"
